layer,source,competition_instance,family,benchmark_path,best_known_name,n_operations,n_jobs,n_machines,n_workers,flexibility,duration_variety,lb,ub,is_optimal_known,reference_best,reference_avg,current_best,current_avg,in_competition30,selection_reason
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,instances\Example_Instances_FJSSP-WF\Behnke21.fjs,BehnkeGeiger21,50,10,40,60,0.192591666667,0.00108173596988,0,81,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Behnke12,,BehnkeGeiger,instances\Example_Instances_FJSSP-WF\Behnke12.fjs,BehnkeGeiger12,250,50,20,30,0.170186666667,0.00097931682858,71,223,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,instances\Example_Instances_FJSSP-WF\Behnke60.fjs,BehnkeGeiger60,500,100,60,90,0.148918888889,6.21765266203e-05,74,431,false,,,,,true,family_min_median_max_operation_count
layer3_ablation_representatives,BrandimarteMk1,,Brandimarte,instances\Example_Instances_FJSSP-WF\BrandimarteMk1.fjs,Brandimarte1,55,10,6,9,0.185858585859,0.0126811594203,21,38,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,BrandimarteMk11,,Brandimarte,instances\Example_Instances_FJSSP-WF\BrandimarteMk11.fjs,Brandimarte11,179,30,5,7,0.172226656026,0.0213160333642,128,586,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,BrandimarteMk15,,Brandimarte,instances\Example_Instances_FJSSP-WF\BrandimarteMk15.fjs,Brandimarte15,284,30,15,22,0.103595817328,0.0024719332578,176,328,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,ChambersBarnes4,,ChambersBarnes,instances\Example_Instances_FJSSP-WF\ChambersBarnes4.fjs,ChambersBarnes4,100,10,12,18,0.0582407407407,0.0810810810811,617,845,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,ChambersBarnes13,,ChambersBarnes,instances\Example_Instances_FJSSP-WF\ChambersBarnes13.fjs,ChambersBarnes13,150,15,11,16,0.0546590909091,0.0727650727651,660,890,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,ChambersBarnes20,,ChambersBarnes,instances\Example_Instances_FJSSP-WF\ChambersBarnes20.fjs,ChambersBarnes20,225,15,16,24,0.0324768518519,0.0370634354954,892,1143,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,DPpaulli3,,DPpaulli,instances\Example_Instances_FJSSP-WF\DPpaulli3.fjs,DPpaulli3,196,10,5,7,0.311516034985,0.047262517548,1278,2148,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,DPpaulli11,,DPpaulli,instances\Example_Instances_FJSSP-WF\DPpaulli11.fjs,DPpaulli11,293,15,8,12,0.154792377702,0.0222783647221,1231,1991,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,DPpaulli13,,DPpaulli,instances\Example_Instances_FJSSP-WF\DPpaulli13.fjs,DPpaulli13,387,20,10,15,0.0700258397933,0.0248462484625,1268,2302,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Fattahi1,,Fattahi,instances\Example_Instances_FJSSP-WF\Fattahi1.fjs,Fattahi1,4,2,2,3,0.75,0.777777777778,69,69,true,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Fattahi12,,Fattahi,instances\Example_Instances_FJSSP-WF\Fattahi12.fjs,Fattahi12,15,5,7,10,0.206666666667,0.516129032258,372,414.999999958,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Fattahi20,6_Fattahi_20_workers,Fattahi,instances\Example_Instances_FJSSP-WF\Fattahi20.fjs,Fattahi20,48,12,8,12,0.153862847222,0.306064880113,880,1147,false,,,,,true,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,instances\Example_Instances_FJSSP-WF\Hurinkedata1.fjs,Hurinkedata1,36,6,6,9,0.117283950617,0.0438596491228,46,50.9999972,false,,,,,true,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkedata66,,Hurink_edata,instances\Example_Instances_FJSSP-WF\Hurinkedata66.fjs,Hurinkedata66,100,10,10,15,0.0614666666667,0.110629067245,632.061266166,893,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkedata48,,Hurink_edata,instances\Example_Instances_FJSSP-WF\Hurinkedata48.fjs,Hurinkedata48,300,20,15,22,0.0396868686869,0.00890811911428,440,627,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkrdata1,,Hurink_rdata,instances\Example_Instances_FJSSP-WF\Hurinkrdata1.fjs,Hurinkrdata1,36,6,6,9,0.19804526749,0.025974025974,43,44,false,,,,,false,family_min_median_max_operation_count
layer3_ablation_representatives,Hurinkrdata44,,Hurink_rdata,instances\Example_Instances_FJSSP-WF\Hurinkrdata44.fjs,Hurinkrdata44,100,10,10,15,0.105466666667,0.0410872313527,780,908,false,,,,,false,family_min_median_max_operation_count
