Instance,BaselineBest,CurrentBest,Delta,Status,SummaryFile
0_BehnkeGeiger_42_workers,80,80,0,MATCHED,remaining_scan_2026-04-23_batch_01.json
0_BehnkeGeiger_46_workers,108,108,0,MATCHED,remaining_scan_2026-04-23_batch_01.json
0_BehnkeGeiger_60_workers,403,402,-1,IMPROVED,remaining_scan_2026-04-23_batch_01.json
1_Brandimarte_12_workers,471,471,0,MATCHED,batch_b1_improvement_summary.json
1_Brandimarte_14_workers,640,640,0,MATCHED,batch_b1_improvement_summary.json
1_Brandimarte_7_workers,140,140,0,MATCHED,batch_b1_improvement_summary.json
2a_Hurink_sdata_18_workers,1138,1138,0,MATCHED,remaining_scan_2026-04-23_batch_01.json
2a_Hurink_sdata_1_workers,52,52,0,MATCHED,batch_c_improvement_summary.json
2a_Hurink_sdata_38_workers,1741,1741,0,MATCHED,remaining_scan_2026-04-23_batch_02.json
2a_Hurink_sdata_40_workers,1373,1373,0,MATCHED,remaining_scan_2026-04-23_batch_02.json
2a_Hurink_sdata_54_workers,8251,8251,0,MATCHED,remaining_scan_2026-04-23_batch_02.json
2a_Hurink_sdata_61_workers,874,874,0,MATCHED,remaining_scan_2026-04-23_batch_02.json
2a_Hurink_sdata_63_workers,382,382,0,MATCHED,remaining_scan_2026-04-23_batch_03.json
2b_Hurink_edata_1_workers,51,51,0,MATCHED,batch_c_improvement_summary.json
2b_Hurink_edata_6_workers,544,544,0,MATCHED,batch_c_improvement_summary.json
2c_Hurink_rdata_28_workers,789,784,-5,IMPROVED,remaining_scan_2026-04-23_batch_03.json
2c_Hurink_rdata_38_workers,1539,1535,-4,IMPROVED,remaining_scan_2026-04-23_batch_03.json
2c_Hurink_rdata_50_workers,5697,5697,0,MATCHED,remaining_scan_2026-04-23_batch_03.json
2d_Hurink_vdata_18_workers,1041,1041,0,MATCHED,remaining_scan_2026-04-23_batch_04.json
2d_Hurink_vdata_30_workers,1075,1075,0,MATCHED,remaining_scan_2026-04-23_batch_04.json
2d_Hurink_vdata_5_workers,507,507,0,MATCHED,batch_c_improvement_summary.json
3_DPpaulli_15_workers,2213,2204,-9,IMPROVED,batch_b2b_improvement_summary.json
3_DPpaulli_18_workers,2215,2207,-8,IMPROVED,batch_b2b_improvement_summary.json
3_DPpaulli_1_workers,2482,2482,0,MATCHED,batch_b2a_improvement_summary.json
3_DPpaulli_9_workers,2087,2077,-10,IMPROVED,batch_b2a_improvement_summary.json
4_ChambersBarnes_10_workers,884,884,0,MATCHED,batch_a_improvement_summary.json
5_Kacem_3_workers,7,7,0,MATCHED,batch_a_improvement_summary.json
5_Kacem_4_workers,11,11,0,MATCHED,batch_a_improvement_summary.json
6_Fattahi_14_workers,546,543,-3,IMPROVED,batch_a_improvement_summary.json
6_Fattahi_20_workers,1155,1153,-2,IMPROVED,batch_a_improvement_summary.json
