layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1009,10,527,OK,0,9.733,146,471,"=6	28 0 w=12	22 2 w=0	27 0 w=13	24 4 w=2	17 0 w=12	11 3 w=6	3 3 w=13	10 1 w=9	3 4 w=0	4 4 w=1	29 0 w=7	15 4 w=7	8 3 w=9	2 3 w=9	27 4 w=7	22 6 w=10	28 2 w=8	5 5 w=8	18 7 w=4	7 4 w=3	20 6 w=7	5 6 w=3	18 8 w=5	11 5 w=4	12 4 w=14	0 5 w=5	6 4 w=5	
12	3 1 w=2	14 0 w=9	26 0 w=12	25 0 w=14	1 1 w=0	0 1 w=4	18 3 w=3	10 2 w=9	9 3 w=5	29 5 w=13	2 5 w=7	15 7 w=10	
16	12 0 w=13	16 2 w=7	24 2 w=5	0 0 w=5	14 1 w=6	0 2 w=4	16 3 w=9	23 2 w=3	25 2 w=14	14 3 w=8	25 4 w=5	4 6 w=6	14 4 w=6	1 5 w=0	23 4 w=5	27 5 w=1	
","Final solution: 527
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1013,10,514,OK,0,9.740,146,471,"3	28 0 w=12	24 4 w=14	17 0 w=12	11 3 w=6	3 3 w=13	10 1 w=9	3 4 w=1	4 4 w=1	29 0 w=7	15 4 w=7	28 2 w=8	8 3 w=9	2 3 w=13	27 4 w=9	22 6 w=10	12 4 w=8	5 5 w=8	18 7 w=4	7 4 w=3	20 6 w=7	5 6 w=7	18 8 w=5	11 5 w=4	0 5 w=5	6 4 w=5	
12	3 1 w=2	14 0 w=9	25 0 w=14	1 1 w=0	18 3 w=3	0 1 w=5	10 2 w=9	9 3 w=2	25 5 w=3	29 5 w=13	2 5 w=7	15 7 w=10	
18	12 0 w=13	16 2 w=12	24 2 w=5	0 0 w=5	14 1 w=6	19 2 w=12	0 2 w=3	6 1 w=2	16 3 w=14	23 2 w=3	25 2 w=14	25 3 w=5	23 4 w=1	25 4 w=5	4 6 w=6	14 4 w=6	1 5 w=2	27 5 w=1	
","Final solution: 514
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1019,10,530,OK,0,9.727,146,471," 0 w=12	24 4 w=14	17 0 w=12	10 1 w=9	11 3 w=6	3 3 w=6	3 4 w=0	29 0 w=7	15 4 w=10	28 2 w=8	4 4 w=1	8 3 w=9	2 3 w=13	27 4 w=9	18 7 w=4	22 6 w=10	5 5 w=8	7 4 w=5	20 6 w=7	5 6 w=10	18 8 w=5	11 5 w=4	12 4 w=14	0 5 w=5	6 4 w=5	
10	3 1 w=2	14 0 w=9	25 0 w=14	1 1 w=0	18 3 w=3	10 2 w=9	9 3 w=1	29 5 w=13	2 5 w=7	15 7 w=10	
20	12 0 w=13	19 2 w=12	16 2 w=7	24 2 w=5	0 0 w=5	14 1 w=6	26 2 w=11	0 2 w=4	6 1 w=12	16 3 w=12	23 2 w=5	25 2 w=14	25 3 w=5	23 4 w=4	25 4 w=5	4 6 w=6	14 3 w=8	14 4 w=6	1 5 w=0	27 5 w=1	
","Final solution: 530
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,1009,10,174,OK,0,9.727,46,137,"w=0	13 0 w=3	15 1 w=6	13 2 w=6	11 0 w=6	1 4 w=4	11 1 w=3	6 3 w=4	5 1 w=0	4 1 w=2	4 2 w=1	4 3 w=0	2 2 w=0	16 3 w=0	16 4 w=3	12 2 w=4	2 4 w=4	
16	19 0 w=4	8 1 w=2	7 0 w=4	1 1 w=2	3 1 w=1	6 0 w=0	9 3 w=3	8 3 w=5	10 0 w=1	15 4 w=6	2 1 w=6	19 2 w=5	4 4 w=2	12 1 w=3	18 3 w=0	0 3 w=3	
25	2 0 w=4	16 0 w=6	9 0 w=0	14 0 w=5	17 1 w=3	14 1 w=0	18 1 w=0	17 2 w=5	9 1 w=5	14 2 w=2	8 2 w=6	6 1 w=6	15 3 w=0	6 4 w=2	10 1 w=4	10 2 w=2	10 3 w=4	5 2 w=5	19 3 w=4	10 4 w=6	17 4 w=3	13 4 w=4	12 4 w=1	14 4 w=6	0 4 w=0	
","Final solution: 174
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,1013,10,186,OK,0,9.738,46,137,"0 w=2	13 0 w=3	5 0 w=6	15 1 w=5	13 2 w=1	11 0 w=6	1 4 w=4	11 1 w=3	6 3 w=4	5 1 w=0	4 1 w=2	4 2 w=1	4 3 w=0	2 2 w=4	16 3 w=0	16 4 w=6	2 4 w=4	
18	19 0 w=1	8 1 w=2	7 0 w=4	1 1 w=2	18 1 w=4	6 0 w=0	3 1 w=1	9 3 w=3	8 3 w=5	19 2 w=5	10 0 w=1	15 4 w=6	2 1 w=6	4 4 w=2	12 1 w=3	18 3 w=0	0 3 w=0	0 4 w=5	
23	2 0 w=0	8 0 w=2	14 0 w=4	14 1 w=0	9 0 w=6	16 0 w=6	17 1 w=0	17 2 w=5	9 1 w=5	14 2 w=2	8 2 w=6	6 1 w=6	15 3 w=0	6 4 w=2	10 1 w=4	10 2 w=2	10 3 w=4	5 2 w=0	19 3 w=4	17 4 w=3	13 4 w=4	10 4 w=6	14 4 w=6	
","Final solution: 186
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,1019,10,181,OK,0,9.738,46,137,"0 w=3	15 1 w=5	13 2 w=1	11 0 w=6	1 4 w=6	11 1 w=3	6 3 w=1	5 1 w=0	4 1 w=3	4 3 w=0	2 2 w=4	16 3 w=0	2 4 w=4	
17	5 0 w=6	19 0 w=1	8 1 w=2	7 0 w=1	18 1 w=4	6 0 w=0	3 1 w=1	10 0 w=1	9 3 w=5	8 3 w=5	15 4 w=6	2 1 w=6	19 2 w=5	4 4 w=2	12 1 w=5	18 3 w=0	0 3 w=0	
28	2 0 w=0	8 0 w=3	14 0 w=4	14 1 w=0	16 0 w=6	17 1 w=0	1 1 w=5	17 2 w=5	9 0 w=2	9 1 w=5	14 2 w=4	8 2 w=6	6 1 w=6	15 3 w=0	6 4 w=2	10 1 w=4	10 2 w=2	4 2 w=1	10 3 w=4	5 2 w=0	19 3 w=4	10 4 w=6	17 4 w=3	16 4 w=5	12 4 w=1	13 4 w=4	14 4 w=6	0 4 w=0	
","Final solution: 181
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,1009,10,964,OK,0,9.727,662,775,"w=8	6 2 w=12	1 4 w=13	12 1 w=7	9 3 w=13	2 3 w=10	6 7 w=12	5 7 w=12	5 8 w=1	12 9 w=13	3 9 w=3	
16	8 0 w=11	9 0 w=0	14 1 w=5	14 2 w=12	5 3 w=2	7 1 w=7	10 2 w=13	12 2 w=3	7 6 w=7	0 5 w=13	2 5 w=5	4 5 w=8	6 8 w=12	1 8 w=6	11 8 w=7	8 9 w=14	
17	0 0 w=0	5 1 w=8	8 1 w=13	8 3 w=6	13 3 w=3	9 1 w=5	8 6 w=9	6 4 w=1	11 3 w=0	6 6 w=11	4 3 w=5	3 7 w=7	12 5 w=6	7 8 w=8	12 8 w=2	1 9 w=5	14 9 w=9	
13	2 0 w=12	2 1 w=9	4 1 w=10	7 2 w=7	13 5 w=8	1 5 w=10	13 6 w=5	0 6 w=3	0 7 w=5	13 7 w=5	9 7 w=3	10 8 w=8	2 8 w=12	
","Final solution: 964
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,1013,10,1001,OK,0,9.731,662,775,"13	4 0 w=8	6 2 w=12	1 4 w=13	12 1 w=7	9 3 w=13	6 7 w=12	5 7 w=12	5 8 w=1	12 9 w=13	3 9 w=3	
16	8 0 w=11	9 0 w=0	14 1 w=5	14 2 w=12	5 3 w=2	7 1 w=7	10 2 w=13	12 2 w=3	7 6 w=7	0 5 w=13	2 5 w=5	4 5 w=8	6 8 w=12	1 8 w=6	11 8 w=7	8 9 w=14	
16	0 0 w=0	5 1 w=8	8 1 w=13	13 3 w=3	9 1 w=5	11 0 w=11	8 6 w=9	6 4 w=6	11 3 w=0	6 6 w=11	3 7 w=7	12 5 w=6	7 8 w=8	12 8 w=2	1 9 w=5	14 9 w=9	
14	2 0 w=12	2 1 w=9	8 3 w=2	4 1 w=10	7 2 w=7	13 5 w=8	1 5 w=10	13 6 w=5	0 6 w=3	0 7 w=5	13 7 w=5	9 7 w=4	10 8 w=8	2 8 w=11	
","Final solution: 1001
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,1019,10,971,OK,0,9.738,662,775,"=12	1 4 w=8	12 1 w=7	9 3 w=13	6 7 w=12	5 7 w=12	5 8 w=1	12 9 w=13	3 9 w=3	
16	8 0 w=11	9 0 w=0	14 1 w=5	14 2 w=12	5 3 w=2	7 1 w=7	10 2 w=13	12 2 w=3	7 6 w=7	0 5 w=13	2 5 w=5	4 5 w=8	6 8 w=12	1 8 w=6	11 8 w=7	8 9 w=14	
17	0 0 w=0	5 1 w=8	8 1 w=13	8 3 w=6	13 3 w=3	9 1 w=5	8 6 w=9	6 4 w=1	11 3 w=0	6 6 w=11	4 3 w=5	3 7 w=7	12 5 w=6	7 8 w=8	12 8 w=9	1 9 w=5	14 9 w=11	
15	2 0 w=12	2 1 w=9	4 1 w=10	8 5 w=13	7 2 w=7	13 5 w=8	1 5 w=10	13 6 w=5	0 6 w=3	0 7 w=5	13 7 w=5	9 7 w=3	10 8 w=8	2 8 w=12	2 9 w=12	
","Final solution: 971
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1009,10,2306,OK,0,9.758,1221,2071,"4 15 w=7	6 9 w=9	5 8 w=1	8 17 w=7	11 13 w=0	19 11 w=14	11 15 w=12	5 10 w=1	2 19 w=4	3 14 w=0	19 14 w=4	16 19 w=1	12 14 w=4	13 14 w=7	0 13 w=5	17 16 w=14	
37	8 1 w=14	8 2 w=7	4 2 w=0	16 3 w=2	8 6 w=8	16 4 w=6	12 3 w=6	2 7 w=13	8 9 w=11	2 9 w=7	7 10 w=0	7 11 w=4	16 8 w=9	16 9 w=4	19 5 w=1	9 9 w=9	8 12 w=1	13 3 w=4	2 13 w=6	16 12 w=8	18 12 w=11	17 10 w=6	5 6 w=6	17 11 w=6	9 13 w=8	1 14 w=2	15 12 w=11	1 15 w=2	1 16 w=9	11 17 w=1	13 12 w=3	18 18 w=2	18 19 w=13	9 17 w=11	2 22 w=11	1 19 w=2	19 15 w=1	
","Final solution: 2306
Schedule exported to ../../output.csv
"
