layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1009,10,593,OK,0,9.729,146,471,"28 2 w=12	18 5 w=6	5 5 w=10	18 7 w=4	17 0 w=12	18 8 w=0	22 2 w=2	2 3 w=2	7 4 w=2	15 4 w=10	21 1 w=6	3 3 w=6	3 4 w=11	6 4 w=5	27 4 w=9	0 5 w=12	22 6 w=1	24 4 w=14	12 4 w=14	11 3 w=5	4 4 w=2	20 6 w=12	11 5 w=4	4 7 w=4	
9	18 3 w=14	25 0 w=11	3 1 w=12	29 3 w=13	26 0 w=12	29 5 w=13	24 1 w=0	15 7 w=4	25 5 w=0	
21	8 0 w=14	0 0 w=3	0 2 w=0	14 1 w=6	23 1 w=10	15 0 w=12	23 2 w=4	7 2 w=4	14 4 w=6	25 2 w=3	19 2 w=12	12 0 w=13	1 5 w=9	4 2 w=5	25 4 w=5	16 2 w=13	24 2 w=6	16 3 w=6	10 4 w=0	26 2 w=12	4 6 w=12	
","Final solution: 593
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1013,10,623,OK,0,9.734,146,471," 0 w=7	21 1 w=14	27 0 w=11	28 2 w=12	18 0 w=5	3 3 w=10	0 5 w=4	3 4 w=0	11 3 w=8	24 4 w=13	8 3 w=10	22 2 w=2	10 1 w=11	12 4 w=14	5 5 w=12	5 6 w=7	2 3 w=9	6 4 w=10	11 5 w=5	4 4 w=14	15 4 w=7	20 6 w=7	27 4 w=0	7 4 w=13	18 7 w=4	22 6 w=10	18 8 w=7	
8	0 1 w=3	3 1 w=8	9 2 w=6	6 3 w=4	9 3 w=14	18 3 w=8	15 7 w=13	29 5 w=13	
20	0 0 w=5	16 2 w=7	8 0 w=9	23 1 w=12	0 2 w=4	23 2 w=9	24 2 w=4	14 1 w=6	25 2 w=4	25 3 w=5	19 2 w=12	12 0 w=13	16 3 w=3	6 1 w=5	23 4 w=3	26 2 w=0	10 4 w=1	19 5 w=3	4 6 w=2	27 5 w=0	
","Final solution: 623
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1019,10,582,OK,0,9.732,146,471," w=8	10 1 w=13	8 3 w=5	2 3 w=9	13 2 w=9	4 4 w=3	22 2 w=2	6 4 w=8	24 4 w=14	18 5 w=4	11 3 w=6	15 4 w=10	12 4 w=14	3 3 w=0	7 4 w=11	18 7 w=4	22 6 w=10	18 8 w=5	0 5 w=12	3 4 w=11	11 5 w=4	5 5 w=8	5 6 w=3	
12	25 0 w=14	26 0 w=8	8 2 w=7	24 1 w=14	3 1 w=3	25 5 w=14	10 2 w=9	9 3 w=0	18 3 w=3	1 1 w=0	14 0 w=10	29 5 w=13	
20	9 0 w=13	25 2 w=14	25 3 w=5	24 0 w=0	0 0 w=3	25 4 w=5	24 2 w=5	0 2 w=0	16 2 w=12	12 0 w=13	19 2 w=12	6 1 w=12	4 6 w=0	23 2 w=3	23 4 w=5	14 1 w=3	16 3 w=2	14 4 w=6	19 5 w=3	27 5 w=0	
","Final solution: 582
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1009,10,3820,OK,0,9.746,1221,2071,"12	14 14 w=1	14 15 w=7	10 13 w=8	15 16 w=2	19 10 w=7	17 10 w=6	11 11 w=9	8 10 w=2	2 14 w=6	16 13 w=13	8 18 w=9	6 6 w=2	6 9 w=9	
39	11 0 w=12	9 2 w=10	14 3 w=8	7 1 w=9	2 3 w=13	18 3 w=7	1 3 w=13	18 8 w=14	12 3 w=3	8 6 w=3	4 8 w=14	0 11 w=0	1 6 w=4	0 12 w=14	13 11 w=4	2 10 w=12	13 12 w=7	19 2 w=14	3 14 w=2	15 15 w=8	5 6 w=10	16 9 w=11	10 12 w=0	12 9 w=12	8 9 w=11	18 19 w=8	10 14 w=0	11 9 w=6	5 10 w=11	14 19 w=1	5 12 w=7	10 16 w=1	13 14 w=2	17 12 w=1	11 14 w=3	7 18 w=8	11 15 w=4	2 22 w=14	6 4 w=1	
","Final solution: 3820
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1013,10,3566,OK,0,9.748,1221,2071,"17 w=9	7 17 w=14	11 11 w=13	10 11 w=7	4 12 w=12	9 11 w=0	9 13 w=4	11 13 w=12	12 14 w=8	1 17 w=6	4 15 w=4	6 9 w=9	6 14 w=1	
40	14 1 w=0	9 2 w=8	7 1 w=9	8 1 w=0	0 1 w=3	15 2 w=5	8 3 w=14	17 8 w=2	8 5 w=5	10 1 w=13	16 7 w=8	16 8 w=4	18 5 w=10	7 10 w=3	14 7 w=12	6 4 w=5	1 7 w=9	19 7 w=13	6 6 w=7	9 5 w=0	13 11 w=7	15 12 w=4	17 13 w=13	0 11 w=11	16 13 w=7	8 9 w=10	2 14 w=10	1 9 w=0	8 13 w=1	3 15 w=12	10 12 w=6	7 21 w=12	10 14 w=0	11 12 w=0	5 12 w=8	19 15 w=10	11 14 w=3	11 15 w=11	9 17 w=12	4 19 w=13	
","Final solution: 3566
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1019,10,3606,OK,0,9.743,1221,2071,"2 11 w=3	13 12 w=14	11 13 w=12	10 13 w=3	17 8 w=12	10 14 w=0	17 11 w=12	5 14 w=1	6 9 w=9	
44	11 0 w=13	0 0 w=5	0 1 w=5	2 2 w=2	8 1 w=7	16 2 w=4	10 1 w=7	15 2 w=5	16 4 w=6	8 4 w=10	13 6 w=7	9 3 w=4	11 10 w=7	6 3 w=1	14 7 w=4	16 11 w=4	7 8 w=14	16 14 w=10	1 9 w=10	18 7 w=14	16 15 w=4	19 10 w=8	12 7 w=7	14 12 w=1	16 19 w=10	9 9 w=9	2 11 w=3	0 11 w=8	0 12 w=0	14 19 w=3	1 14 w=9	6 4 w=7	3 17 w=0	6 5 w=12	17 7 w=8	11 12 w=7	6 6 w=1	17 10 w=9	11 14 w=1	9 13 w=5	18 19 w=8	17 15 w=1	9 17 w=11	11 19 w=3	
","Final solution: 3606
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1009,10,13,OK,0,9.733,10,11," w=9	0 1 w=12	7 2 w=8	5 1 w=10	
6	5 0 w=0	12 0 w=0	2 2 w=14	13 1 w=13	10 3 w=0	12 3 w=0	
5	6 0 w=13	10 2 w=8	0 2 w=5	1 1 w=7	0 3 w=4	
4	1 0 w=12	4 2 w=1	2 3 w=14	8 3 w=13	
6	3 0 w=8	10 1 w=4	3 1 w=3	11 1 w=10	14 3 w=5	13 3 w=3	
5	4 1 w=7	3 2 w=0	14 2 w=4	4 3 w=12	7 3 w=1	
6	2 0 w=11	7 0 w=1	0 0 w=6	2 1 w=14	8 2 w=2	11 3 w=5	
5	14 0 w=7	14 1 w=2	9 1 w=0	13 2 w=9	1 3 w=2	
5	4 0 w=10	7 1 w=1	3 3 w=3	6 1 w=0	11 2 w=3	
9	10 0 w=2	8 0 w=6	11 0 w=12	9 0 w=9	12 1 w=9	12 2 w=6	1 2 w=7	9 2 w=12	9 3 w=14	
","Final solution: 13
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1013,10,12,OK,0,9.734,10,11," w=12	8 1 w=3	7 0 w=3	5 1 w=1	7 2 w=8	7 3 w=0	
7	12 0 w=3	0 1 w=5	4 2 w=7	6 1 w=5	13 1 w=7	9 3 w=7	12 3 w=13	
4	14 1 w=9	0 2 w=11	1 1 w=6	2 2 w=11	
4	5 0 w=8	14 2 w=10	4 3 w=0	2 3 w=14	
6	3 0 w=4	3 1 w=7	10 1 w=14	11 1 w=8	14 3 w=3	13 3 w=3	
4	4 1 w=0	3 2 w=11	10 2 w=4	11 2 w=10	
7	2 0 w=11	10 0 w=14	1 0 w=4	2 1 w=1	8 2 w=2	10 3 w=6	11 3 w=4	
5	14 0 w=2	9 1 w=0	7 1 w=3	13 2 w=12	1 3 w=1	
4	4 0 w=2	13 0 w=6	3 3 w=1	0 3 w=14	
8	8 0 w=5	9 0 w=9	11 0 w=1	12 1 w=13	9 2 w=12	12 2 w=9	1 2 w=5	8 3 w=6	
","Final solution: 12
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1019,10,12,OK,0,9.736,10,11,"w=4	13 0 w=9	0 1 w=9	9 1 w=4	5 1 w=12	7 3 w=14	9 3 w=8	
5	2 0 w=3	12 0 w=5	13 1 w=3	4 2 w=7	12 3 w=6	
5	6 0 w=13	8 1 w=12	2 2 w=1	0 2 w=9	14 2 w=12	
6	7 0 w=0	5 0 w=8	7 2 w=6	1 3 w=0	4 3 w=13	2 3 w=14	
6	3 0 w=8	3 1 w=7	6 1 w=11	11 1 w=14	13 3 w=10	14 3 w=3	
5	3 2 w=3	10 1 w=2	4 1 w=5	14 1 w=0	0 3 w=7	
4	9 0 w=10	8 2 w=11	10 3 w=6	11 3 w=4	
4	14 0 w=2	7 1 w=2	13 2 w=8	8 3 w=5	
5	4 0 w=10	2 1 w=11	12 1 w=7	10 2 w=13	11 2 w=3	
8	8 0 w=6	1 0 w=3	11 0 w=4	1 1 w=13	1 2 w=10	9 2 w=4	12 2 w=2	3 3 w=0	
","Final solution: 12
Schedule exported to ../../output.csv
"
layer1_competition30,Fattahi20,6_Fattahi_20_workers,Fattahi,1009,10,1469,OK,0,9.722,880,1147,"makespan=1469
3	3 0 w=7	0 0 w=3	1 0 w=11	
6	2 0 w=1	4 0 w=1	10 0 w=1	11 0 w=7	4 2 w=8	1 1 w=5	
5	7 0 w=6	8 0 w=8	6 0 w=3	6 1 w=4	9 0 w=3	
7	5 0 w=8	3 2 w=4	8 1 w=1	4 1 w=8	10 1 w=6	2 2 w=2	5 3 w=4	
6	3 1 w=10	5 1 w=6	11 1 w=9	9 1 w=6	9 2 w=1	6 3 w=4	
8	7 1 w=2	3 3 w=9	7 2 w=1	6 2 w=2	10 3 w=7	1 2 w=5	8 3 w=8	2 3 w=6	
9	2 1 w=9	0 1 w=10	0 2 w=2	5 2 w=11	10 2 w=4	11 2 w=4	8 2 w=3	7 3 w=2	9 3 w=2	
4	4 3 w=10	0 3 w=0	11 3 w=11	1 3 w=5	
","Final solution: 1469
Schedule exported to ../../output.csv
"
