layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1009,10,94,OK,0,9.819,0,80," w=5	6 1 w=41	
3	2 3 w=19	3 2 w=24	4 3 w=32	
0	
0	
2	0 1 w=18	0 3 w=18	
2	8 1 w=15	5 2 w=55	
0	
0	
4	2 1 w=30	9 2 w=2	8 3 w=53	7 3 w=4	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
1	7 1 w=34	
0	
0	
0	
0	
0	
2	0 2 w=9	7 2 w=7	
0	
0	
0	
4	9 1 w=3	8 2 w=49	9 3 w=89	4 2 w=3	
0	
0	
0	
0	
0	
3	1 2 w=82	4 1 w=40	5 3 w=9	
0	
0	
0	
0	
0	
3	3 1 w=0	6 2 w=63	6 3 w=76	
3	1 1 w=84	1 3 w=45	3 3 w=81	
0	
0	
0	
0	
0	
0	
0	
3	9 4 w=37	3 4 w=58	7 4 w=52	
3	2 4 w=1	8 4 w=2	6 4 w=14	
2	0 4 w=31	5 4 w=33	
2	1 4 w=27	4 4 w=19	
","Final solution: 94
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1013,10,91,OK,0,9.811,0,80,"	
2	7 2 w=72	4 3 w=70	
0	
2	5 2 w=8	4 2 w=6	
1	0 1 w=73	
0	
2	6 1 w=77	8 1 w=13	
0	
1	2 3 w=37	
0	
1	2 2 w=23	
0	
2	0 3 w=76	7 3 w=14	
0	
0	
0	
2	3 1 w=45	1 2 w=10	
0	
0	
0	
1	7 1 w=15	
1	6 2 w=10	
0	
0	
1	2 1 w=25	
1	1 3 w=24	
1	0 2 w=87	
0	
0	
0	
2	9 3 w=35	8 2 w=68	
0	
0	
1	1 1 w=19	
0	
2	9 2 w=48	5 3 w=33	
1	4 1 w=4	
0	
0	
1	8 3 w=63	
0	
0	
1	6 3 w=43	
0	
0	
1	9 1 w=23	
0	
0	
1	3 3 w=15	
0	
0	
4	9 4 w=4	6 4 w=73	3 4 w=2	7 4 w=23	
2	2 4 w=25	1 4 w=18	
2	0 4 w=7	8 4 w=16	
2	5 4 w=31	4 4 w=19	
","Final solution: 91
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1019,10,98,OK,0,9.819,0,80,"1	
0	
3	3 2 w=24	2 3 w=69	4 3 w=13	
2	2 1 w=26	5 3 w=20	
0	
2	0 2 w=25	0 3 w=47	
3	8 1 w=53	5 2 w=46	9 3 w=36	
0	
0	
0	
2	6 1 w=70	8 3 w=47	
3	0 1 w=29	7 2 w=1	2 2 w=65	
0	
0	
0	
0	
2	1 1 w=86	9 1 w=9	
0	
2	7 3 w=80	9 2 w=7	
0	
0	
0	
2	7 1 w=63	1 3 w=3	
0	
0	
0	
0	
0	
0	
0	
0	
0	
1	8 2 w=1	
2	4 1 w=35	4 2 w=6	
0	
0	
2	3 1 w=1	3 3 w=75	
0	
1	1 2 w=89	
0	
1	6 3 w=22	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
3	3 4 w=2	8 4 w=1	4 4 w=66	
3	0 4 w=19	5 4 w=31	6 4 w=14	
3	7 4 w=52	2 4 w=4	9 4 w=64	
1	1 4 w=76	
","Final solution: 98
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1009,10,121,OK,0,9.932,67,108,"10 1 w=18	9 1 w=23	19 2 w=44	
4	6 1 w=21	17 1 w=41	19 3 w=54	4 3 w=42	
0	
0	
0	
0	
4	1 2 w=20	18 1 w=25	0 2 w=55	4 2 w=68	
0	
4	15 1 w=10	8 2 w=29	18 2 w=36	16 3 w=17	
3	2 3 w=1	17 3 w=57	0 3 w=5	
0	
0	
0	
0	
3	10 3 w=59	14 1 w=56	16 1 w=72	
0	
0	
2	1 1 w=2	14 2 w=77	
0	
0	
0	
0	
2	0 1 w=9	18 3 w=40	
6	10 4 w=86	5 4 w=6	2 4 w=22	9 4 w=41	3 4 w=27	4 4 w=38	
5	15 4 w=0	1 4 w=6	8 4 w=11	19 4 w=33	16 4 w=36	
4	13 4 w=44	17 4 w=25	18 4 w=14	7 4 w=75	
5	6 4 w=60	11 4 w=24	14 4 w=59	0 4 w=16	12 4 w=8	
","Final solution: 121
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1013,10,117,OK,0,9.899,67,108,"4 3 w=42	
0	
3	1 2 w=85	17 2 w=70	7 1 w=7	
0	
0	
0	
2	17 1 w=7	16 2 w=20	
0	
3	15 3 w=1	17 3 w=65	2 3 w=50	
0	
3	11 1 w=1	1 3 w=16	9 2 w=8	
0	
0	
5	6 2 w=50	4 1 w=30	10 2 w=45	10 3 w=1	7 3 w=51	
3	18 1 w=3	6 3 w=6	16 1 w=72	
0	
1	14 2 w=88	
0	
0	
0	
1	9 1 w=14	
4	1 1 w=11	18 3 w=32	0 3 w=27	16 3 w=9	
5	5 4 w=49	1 4 w=17	17 4 w=6	10 4 w=0	9 4 w=61	
5	6 4 w=72	19 4 w=52	4 4 w=37	8 4 w=11	16 4 w=5	
4	15 4 w=15	18 4 w=83	3 4 w=13	7 4 w=2	
6	13 4 w=33	11 4 w=24	14 4 w=60	0 4 w=16	2 4 w=21	12 4 w=22	
","Final solution: 117
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1019,10,127,OK,0,9.885,67,108,"
2	15 1 w=68	18 2 w=26	
2	13 3 w=74	2 3 w=55	
0	
0	
3	15 3 w=55	1 1 w=18	8 1 w=8	
3	11 1 w=84	14 1 w=56	6 2 w=28	
4	4 1 w=4	16 1 w=43	10 3 w=65	5 3 w=11	
0	
4	17 1 w=41	16 2 w=43	14 2 w=61	6 3 w=72	
0	
0	
3	0 2 w=29	2 1 w=3	2 2 w=67	
2	19 3 w=11	5 1 w=81	
0	
4	12 3 w=52	16 3 w=11	14 3 w=2	18 3 w=45	
5	4 4 w=24	17 4 w=15	9 4 w=41	5 4 w=7	3 4 w=15	
4	19 4 w=17	13 4 w=35	6 4 w=29	8 4 w=28	
5	7 4 w=57	12 4 w=8	16 4 w=86	11 4 w=24	18 4 w=14	
6	0 4 w=16	15 4 w=0	10 4 w=12	14 4 w=71	2 4 w=19	1 4 w=21	
","Final solution: 127
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,1009,10,584,OK,0,10.593,74,431,"w=48	29 4 w=43	
25	60 4 w=29	56 4 w=2	52 4 w=77	99 4 w=13	2 4 w=84	11 4 w=37	76 4 w=56	84 4 w=27	90 4 w=9	98 4 w=39	91 4 w=33	1 4 w=61	78 4 w=57	21 4 w=68	27 4 w=29	0 4 w=80	23 4 w=39	57 4 w=8	75 4 w=35	61 4 w=5	92 4 w=10	7 4 w=15	17 4 w=64	59 4 w=69	36 4 w=44	
24	38 4 w=64	25 4 w=78	85 4 w=71	37 4 w=75	65 4 w=32	6 4 w=88	5 4 w=32	81 4 w=79	88 4 w=22	26 4 w=86	97 4 w=84	73 4 w=5	9 4 w=40	22 4 w=5	54 4 w=23	41 4 w=26	40 4 w=14	28 4 w=77	67 4 w=5	42 4 w=54	74 4 w=40	39 4 w=39	69 4 w=25	15 4 w=13	
","Final solution: 584
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,1013,10,575,OK,0,10.394,74,431,"	31 4 w=50	15 4 w=70	
25	5 4 w=72	60 4 w=51	99 4 w=63	56 4 w=43	17 4 w=86	39 4 w=14	91 4 w=36	73 4 w=6	78 4 w=78	37 4 w=83	84 4 w=24	32 4 w=84	4 4 w=75	52 4 w=44	41 4 w=32	90 4 w=77	47 4 w=88	77 4 w=66	58 4 w=32	27 4 w=62	80 4 w=65	93 4 w=72	35 4 w=71	21 4 w=84	98 4 w=8	
23	38 4 w=44	88 4 w=8	1 4 w=67	25 4 w=30	9 4 w=37	54 4 w=58	65 4 w=45	46 4 w=25	24 4 w=8	55 4 w=77	11 4 w=44	18 4 w=60	81 4 w=40	92 4 w=68	61 4 w=49	94 4 w=83	20 4 w=58	22 4 w=3	51 4 w=68	40 4 w=8	45 4 w=10	42 4 w=53	74 4 w=40	
","Final solution: 575
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,1019,10,755,OK,0,10.468,74,431,"7	69 4 w=72	31 4 w=61	87 4 w=10	
22	32 4 w=26	49 4 w=5	60 4 w=24	73 4 w=72	52 4 w=35	79 4 w=40	33 4 w=74	84 4 w=82	44 4 w=2	7 4 w=48	82 4 w=83	90 4 w=57	64 4 w=11	13 4 w=27	9 4 w=67	74 4 w=89	34 4 w=52	51 4 w=62	12 4 w=55	75 4 w=22	10 4 w=8	71 4 w=48	
25	50 4 w=13	65 4 w=12	98 4 w=9	0 4 w=6	58 4 w=73	89 4 w=23	93 4 w=11	88 4 w=57	29 4 w=83	38 4 w=22	83 4 w=83	57 4 w=78	2 4 w=66	41 4 w=41	18 4 w=43	36 4 w=49	63 4 w=49	54 4 w=6	20 4 w=63	86 4 w=71	22 4 w=14	85 4 w=40	6 4 w=50	27 4 w=62	24 4 w=38	
","Final solution: 755
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1009,10,524,OK,0,9.779,146,471,"=10	17 0 w=8	28 2 w=9	5 5 w=8	18 7 w=4	18 8 w=14	22 2 w=0	21 1 w=8	2 3 w=13	7 4 w=14	15 4 w=7	3 3 w=6	6 4 w=8	5 6 w=4	3 4 w=7	22 6 w=1	4 4 w=3	27 4 w=11	24 4 w=13	11 3 w=3	12 4 w=14	0 5 w=12	11 5 w=4	
12	25 0 w=11	1 1 w=10	14 0 w=11	0 1 w=10	18 3 w=14	9 2 w=7	3 1 w=13	29 3 w=8	10 2 w=0	6 3 w=11	26 0 w=12	2 5 w=10	
20	15 0 w=0	0 0 w=4	0 2 w=8	14 1 w=6	24 0 w=5	23 2 w=9	12 0 w=13	6 1 w=13	14 4 w=6	25 2 w=3	19 2 w=12	16 2 w=13	1 5 w=9	25 3 w=5	25 4 w=5	24 2 w=6	16 3 w=6	10 4 w=0	27 5 w=0	4 6 w=12	
","Final solution: 524
Schedule exported to ../../output.csv
"
