key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,best_minus_lb,best_minus_ub,status
0_BehnkeGeiger_42_workers,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,3,3,91,94.333,0,80,91,11,OK
0_BehnkeGeiger_46_workers,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,3,3,117,121.667,67,108,50,9,OK
0_BehnkeGeiger_60_workers,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,3,3,575,638,74,431,501,144,OK
1_Brandimarte_12_workers,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,3,3,513,533.667,146,471,367,42,OK
1_Brandimarte_14_workers,BrandimarteMk14,1_Brandimarte_14_workers,Brandimarte,3,3,671,690.667,210,640,461,31,OK
1_Brandimarte_7_workers,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,3,3,182,195.667,46,137,136,45,OK
2a_Hurink_sdata_18_workers,Hurinksdata18,2a_Hurink_sdata_18_workers,Hurink_sdata,3,3,1422,1549.333,363.722,1138,1058.278,284,OK
2a_Hurink_sdata_1_workers,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,3,3,56,59,46,52.000,10,4.000,OK
2a_Hurink_sdata_38_workers,Hurinksdata38,2a_Hurink_sdata_38_workers,Hurink_sdata,3,3,2378,2444.333,598.202,1738,1779.798,640,OK
2a_Hurink_sdata_40_workers,Hurinksdata40,2a_Hurink_sdata_40_workers,Hurink_sdata,3,3,1813,1897.333,914,1329,899,484,OK
2a_Hurink_sdata_54_workers,Hurinksdata54,2a_Hurink_sdata_54_workers,Hurink_sdata,3,3,8601,9281.667,5241.725,7830,3359.275,771,OK
2a_Hurink_sdata_61_workers,Hurinksdata61,2a_Hurink_sdata_61_workers,Hurink_sdata,3,3,985,991,547,832,438,153,OK
2a_Hurink_sdata_63_workers,Hurinksdata63,2a_Hurink_sdata_63_workers,Hurink_sdata,3,3,444,449,283,386,161,58,OK
2b_Hurink_edata_1_workers,Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,3,3,51,51,46,51.000,5,0.000,OK
2b_Hurink_edata_6_workers,Hurinkedata6,2b_Hurink_edata_6_workers,Hurink_edata,3,3,583,621,341,541,242,42,OK
2c_Hurink_rdata_28_workers,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,3,3,925,973,662,775,263,150,OK
2c_Hurink_rdata_38_workers,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,3,3,2302,2443,593,1471,1709,831,OK
2c_Hurink_rdata_50_workers,Hurinkrdata50,2c_Hurink_rdata_50_workers,Hurink_rdata,3,3,6065,6236.667,2828,5701,3237,364,OK
2d_Hurink_vdata_18_workers,Hurinkvdata18,2d_Hurink_vdata_18_workers,Hurink_vdata,3,3,1230,1233.333,357,1039,873,191,OK
2d_Hurink_vdata_30_workers,Hurinkvdata30,2d_Hurink_vdata_30_workers,Hurink_vdata,3,3,1299,1354,622,1018,677,281,OK
2d_Hurink_vdata_5_workers,Hurinkvdata5,2d_Hurink_vdata_5_workers,Hurink_vdata,3,3,540,550.667,372,504,168,36,OK
3_DPpaulli_15_workers,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,3,3,3876,4059,1221,2071,2655,1805,OK
3_DPpaulli_18_workers,DPpaulli18,3_DPpaulli_18_workers,DPpaulli,3,3,3779,4120,0,2069,3779,1710,OK
3_DPpaulli_1_workers,DPpaulli1,3_DPpaulli_1_workers,DPpaulli,3,3,3581,3623.333,1336,2486,2245,1095,OK
3_DPpaulli_9_workers,DPpaulli9,3_DPpaulli_9_workers,DPpaulli,3,3,2935,3154,1274,1968,1661,967,OK
4_ChambersBarnes_10_workers,ChambersBarnes10,4_ChambersBarnes_10_workers,ChambersBarnes,3,3,992,1035.667,649,893,343,99,OK
5_Kacem_3_workers,Kacem3,5_Kacem_3_workers,Kacem,3,3,7,7,7,7,0,0,OK
5_Kacem_4_workers,Kacem4,5_Kacem_4_workers,Kacem,3,3,13,13,10,11,3,2,OK
6_Fattahi_14_workers,Fattahi14,6_Fattahi_14_workers,Fattahi,3,3,558,560.667,477,538.000,81,20.000,OK
6_Fattahi_20_workers,Fattahi20,6_Fattahi_20_workers,Fattahi,3,3,1258,1277.667,880,1147,378,111,OK
