layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1009,10,94,OK,0,10.634,0,80," w=5	6 1 w=41	
3	2 3 w=19	3 2 w=24	4 3 w=32	
0	
0	
2	0 1 w=18	0 3 w=18	
2	8 1 w=15	5 2 w=55	
0	
0	
4	2 1 w=30	9 2 w=2	8 3 w=53	7 3 w=4	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
1	7 1 w=34	
0	
0	
0	
0	
0	
2	0 2 w=9	7 2 w=7	
0	
0	
0	
4	9 1 w=3	8 2 w=49	9 3 w=89	4 2 w=3	
0	
0	
0	
0	
0	
3	1 2 w=82	4 1 w=40	5 3 w=9	
0	
0	
0	
0	
0	
3	3 1 w=0	6 2 w=63	6 3 w=76	
3	1 1 w=84	1 3 w=45	3 3 w=81	
0	
0	
0	
0	
0	
0	
0	
3	9 4 w=37	3 4 w=58	7 4 w=52	
3	2 4 w=1	8 4 w=2	6 4 w=14	
2	0 4 w=31	5 4 w=33	
2	1 4 w=27	4 4 w=19	
","Final solution: 94
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1013,10,91,OK,0,11.025,0,80,"	
2	7 2 w=72	4 3 w=70	
0	
2	5 2 w=8	4 2 w=6	
1	0 1 w=73	
0	
2	6 1 w=77	8 1 w=13	
0	
1	2 3 w=37	
0	
1	2 2 w=23	
0	
2	0 3 w=76	7 3 w=14	
0	
0	
0	
2	3 1 w=45	1 2 w=10	
0	
0	
0	
1	7 1 w=15	
1	6 2 w=10	
0	
0	
1	2 1 w=25	
1	1 3 w=24	
1	0 2 w=87	
0	
0	
0	
2	9 3 w=35	8 2 w=68	
0	
0	
1	1 1 w=19	
0	
2	9 2 w=48	5 3 w=33	
1	4 1 w=4	
0	
0	
1	8 3 w=63	
0	
0	
1	6 3 w=43	
0	
0	
1	9 1 w=23	
0	
0	
1	3 3 w=15	
0	
0	
4	9 4 w=4	6 4 w=73	3 4 w=2	7 4 w=23	
2	2 4 w=25	1 4 w=18	
2	0 4 w=7	8 4 w=16	
2	5 4 w=31	4 4 w=19	
","Final solution: 91
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1019,10,96,OK,0,10.227,0,80,"=15	5 3 w=9	
4	3 2 w=24	1 2 w=10	2 3 w=24	4 3 w=13	
0	
1	5 2 w=65	
0	
0	
2	8 1 w=13	4 2 w=2	
0	
0	
0	
2	7 2 w=37	6 1 w=1	
0	
0	
0	
0	
3	1 1 w=3	7 3 w=31	9 3 w=6	
0	
0	
0	
0	
3	7 1 w=50	2 1 w=11	2 2 w=5	
0	
2	8 2 w=45	8 3 w=0	
0	
0	
2	1 3 w=36	0 2 w=31	
0	
0	
0	
0	
0	
0	
0	
0	
0	
4	3 1 w=34	0 1 w=12	9 2 w=80	0 3 w=12	
0	
2	4 1 w=4	6 2 w=42	
0	
2	3 3 w=57	6 3 w=83	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
2	3 4 w=63	8 4 w=78	
3	5 4 w=38	2 4 w=1	6 4 w=14	
3	7 4 w=52	9 4 w=37	0 4 w=31	
2	1 4 w=27	4 4 w=19	
","Final solution: 96
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1009,10,121,OK,0,11.768,67,108,"10 1 w=18	9 1 w=23	19 2 w=44	
4	6 1 w=21	17 1 w=41	19 3 w=54	4 3 w=42	
0	
0	
0	
0	
4	1 2 w=20	18 1 w=25	0 2 w=55	4 2 w=68	
0	
4	15 1 w=10	8 2 w=29	18 2 w=36	16 3 w=17	
3	2 3 w=1	17 3 w=57	0 3 w=5	
0	
0	
0	
0	
3	10 3 w=59	14 1 w=56	16 1 w=72	
0	
0	
2	1 1 w=2	14 2 w=77	
0	
0	
0	
0	
2	0 1 w=9	18 3 w=40	
6	10 4 w=86	5 4 w=6	2 4 w=22	9 4 w=41	3 4 w=27	4 4 w=38	
5	15 4 w=0	1 4 w=6	8 4 w=11	19 4 w=33	16 4 w=36	
4	13 4 w=44	17 4 w=25	18 4 w=14	7 4 w=75	
5	6 4 w=60	11 4 w=24	14 4 w=59	0 4 w=16	12 4 w=8	
","Final solution: 121
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1013,10,117,OK,0,11.740,67,108,"4 3 w=42	
0	
3	1 2 w=85	17 2 w=70	7 1 w=7	
0	
0	
0	
2	17 1 w=7	16 2 w=20	
0	
3	15 3 w=1	17 3 w=65	2 3 w=50	
0	
3	11 1 w=1	1 3 w=16	9 2 w=8	
0	
0	
5	6 2 w=50	4 1 w=30	10 2 w=45	10 3 w=1	7 3 w=51	
3	18 1 w=3	6 3 w=6	16 1 w=72	
0	
1	14 2 w=88	
0	
0	
0	
1	9 1 w=14	
4	1 1 w=11	18 3 w=32	0 3 w=27	16 3 w=9	
5	5 4 w=49	1 4 w=17	17 4 w=6	10 4 w=0	9 4 w=61	
5	6 4 w=72	19 4 w=52	4 4 w=37	8 4 w=11	16 4 w=5	
4	15 4 w=15	18 4 w=83	3 4 w=13	7 4 w=2	
6	13 4 w=33	11 4 w=24	14 4 w=60	0 4 w=16	2 4 w=21	12 4 w=22	
","Final solution: 117
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1019,10,127,OK,0,11.282,67,108,"
2	15 1 w=68	18 2 w=26	
2	13 3 w=74	2 3 w=55	
0	
0	
3	15 3 w=55	1 1 w=18	8 1 w=8	
3	11 1 w=84	14 1 w=56	6 2 w=28	
4	4 1 w=4	16 1 w=43	10 3 w=65	5 3 w=11	
0	
4	17 1 w=41	16 2 w=43	14 2 w=61	6 3 w=72	
0	
0	
3	0 2 w=29	2 1 w=3	2 2 w=67	
2	19 3 w=11	5 1 w=81	
0	
4	12 3 w=52	16 3 w=11	14 3 w=2	18 3 w=45	
5	4 4 w=24	17 4 w=15	9 4 w=41	5 4 w=7	3 4 w=15	
4	19 4 w=17	13 4 w=35	6 4 w=29	8 4 w=28	
5	7 4 w=57	12 4 w=8	16 4 w=86	11 4 w=24	18 4 w=14	
6	0 4 w=16	15 4 w=0	10 4 w=12	14 4 w=71	2 4 w=19	1 4 w=21	
","Final solution: 127
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1009,10,503,OK,0,9.759,146,471,"17 0 w=8	28 2 w=9	5 5 w=8	18 7 w=4	18 8 w=14	22 2 w=0	21 1 w=11	2 3 w=13	7 4 w=14	15 4 w=7	3 3 w=13	6 4 w=3	3 4 w=7	22 6 w=0	4 4 w=3	27 4 w=11	24 4 w=13	11 3 w=3	0 5 w=12	12 4 w=14	11 5 w=4	
13	25 0 w=11	1 1 w=10	14 0 w=11	0 1 w=10	18 3 w=14	9 2 w=7	3 1 w=13	24 1 w=13	29 3 w=8	10 2 w=0	6 3 w=14	26 0 w=12	2 5 w=3	
20	15 0 w=0	0 0 w=4	0 2 w=8	14 1 w=6	24 0 w=7	23 2 w=9	12 0 w=13	6 1 w=13	14 4 w=1	25 2 w=3	19 2 w=12	16 2 w=13	25 4 w=5	24 2 w=6	16 3 w=6	10 4 w=1	23 4 w=5	27 5 w=0	4 6 w=12	19 5 w=8	
","Final solution: 503
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1013,10,498,OK,0,13.350,146,471,"1 3 w=5	3 4 w=13	17 0 w=12	10 1 w=5	8 3 w=10	0 5 w=1	2 3 w=13	22 2 w=2	24 4 w=13	12 4 w=14	11 5 w=4	5 5 w=10	6 4 w=5	4 4 w=2	15 4 w=10	7 4 w=2	27 4 w=7	18 7 w=4	22 6 w=1	18 8 w=5	20 6 w=7	
12	25 0 w=14	0 1 w=10	3 1 w=8	24 1 w=0	29 3 w=3	10 2 w=4	9 2 w=4	6 3 w=4	9 3 w=7	18 3 w=1	2 5 w=8	25 5 w=0	
22	0 0 w=0	0 2 w=6	15 0 w=9	12 0 w=13	16 2 w=3	14 1 w=6	25 2 w=14	24 2 w=6	23 2 w=0	6 1 w=2	16 3 w=6	23 4 w=3	19 2 w=12	25 3 w=5	25 4 w=5	26 2 w=3	14 3 w=14	1 5 w=8	19 5 w=3	14 4 w=14	27 5 w=11	4 6 w=2	
","Final solution: 498
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1019,10,564,OK,0,18.377,146,471,"w=13	8 3 w=5	2 3 w=9	3 2 w=5	4 4 w=6	24 4 w=4	22 2 w=5	6 4 w=14	11 3 w=1	3 3 w=5	3 4 w=0	15 4 w=10	12 4 w=14	18 7 w=4	7 4 w=11	0 5 w=9	22 6 w=4	18 8 w=11	11 5 w=5	5 5 w=7	5 6 w=11	
12	25 0 w=11	26 0 w=8	8 2 w=0	24 1 w=14	3 1 w=3	0 1 w=9	25 5 w=14	14 0 w=10	6 3 w=11	18 3 w=10	10 2 w=9	29 5 w=13	
22	9 0 w=0	25 2 w=14	25 3 w=5	24 0 w=5	0 0 w=3	25 4 w=5	24 2 w=1	16 2 w=12	12 0 w=13	6 1 w=12	19 2 w=12	14 1 w=3	0 2 w=14	7 2 w=6	27 5 w=10	4 6 w=12	23 2 w=4	23 4 w=1	16 3 w=13	19 5 w=3	1 5 w=1	14 4 w=6	
","Final solution: 564
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem3,5_Kacem_3_workers,Kacem,1009,10,7,OK,0,9.946,7,7,"makespan=7
2	6 0 w=9	1 0 w=5	
2	7 1 w=6	7 2 w=10	
4	8 0 w=2	6 1 w=2	0 1 w=14	3 1 w=3	
4	1 1 w=4	0 2 w=14	4 2 w=0	3 2 w=11	
2	7 0 w=14	6 2 w=4	
4	9 0 w=0	5 0 w=11	5 1 w=1	8 2 w=13	
4	0 0 w=4	9 1 w=2	9 2 w=12	8 1 w=9	
2	2 1 w=10	2 2 w=7	
4	4 0 w=3	3 0 w=8	4 1 w=9	5 2 w=6	
2	2 0 w=5	1 2 w=2	
","Final solution: 7
Schedule exported to ../../output.csv
"
