layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1009,10,89,OK,0,9.765,0,80,"w=25	
0	
1	5 2 w=20	
1	0 1 w=6	
1	8 1 w=15	
0	
1	2 2 w=7	
1	2 1 w=30	
1	7 2 w=3	
2	6 1 w=21	7 3 w=22	
0	
0	
0	
0	
0	
0	
1	9 2 w=12	
0	
0	
1	7 1 w=5	
0	
1	8 3 w=61	
1	3 2 w=17	
0	
2	0 3 w=23	1 3 w=40	
1	0 2 w=34	
1	1 2 w=27	
0	
0	
2	4 2 w=8	9 3 w=36	
2	3 3 w=45	8 2 w=76	
0	
0	
1	1 1 w=24	
1	3 1 w=4	
1	5 3 w=29	
1	6 2 w=42	
1	4 1 w=18	
0	
0	
1	2 3 w=31	
1	6 3 w=35	
0	
0	
1	9 1 w=9	
0	
0	
0	
0	
0	
4	7 4 w=14	3 4 w=32	5 4 w=54	8 4 w=43	
3	2 4 w=65	6 4 w=14	1 4 w=67	
2	0 4 w=46	9 4 w=37	
1	4 4 w=49	
","Final solution: 89
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1009,10,114,OK,0,9.798,67,108,"=2	4 3 w=42	
1	2 2 w=71	
0	
2	1 1 w=30	7 1 w=43	
1	0 1 w=40	
2	5 3 w=32	1 2 w=47	
0	
3	19 1 w=14	18 2 w=0	15 1 w=35	
1	2 3 w=1	
1	15 2 w=79	
2	11 1 w=27	9 2 w=54	
1	8 1 w=45	
1	17 3 w=49	
1	0 2 w=64	
1	6 3 w=52	
2	14 2 w=39	16 1 w=43	
0	
0	
0	
2	19 3 w=50	9 1 w=48	
1	18 3 w=41	
2	14 3 w=69	16 3 w=75	
5	5 4 w=38	10 4 w=86	2 4 w=71	9 4 w=6	14 4 w=25	
5	6 4 w=5	1 4 w=83	19 4 w=17	15 4 w=0	16 4 w=5	
4	17 4 w=87	18 4 w=30	7 4 w=59	3 4 w=76	
6	13 4 w=33	12 4 w=70	11 4 w=65	4 4 w=78	0 4 w=16	8 4 w=23	
","Final solution: 114
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,1009,10,381,OK,0,10.138,74,431,"=31	95 4 w=39	
24	2 4 w=59	0 4 w=2	19 4 w=68	8 4 w=78	88 4 w=84	11 4 w=9	32 4 w=42	54 4 w=51	48 4 w=0	47 4 w=88	53 4 w=19	92 4 w=10	21 4 w=53	7 4 w=64	86 4 w=69	64 4 w=11	81 4 w=16	74 4 w=25	10 4 w=53	17 4 w=40	41 4 w=69	14 4 w=62	42 4 w=2	80 4 w=65	
25	70 4 w=73	66 4 w=8	25 4 w=28	50 4 w=61	33 4 w=70	38 4 w=64	83 4 w=23	96 4 w=14	52 4 w=68	5 4 w=48	75 4 w=6	65 4 w=33	93 4 w=28	20 4 w=49	40 4 w=44	78 4 w=87	45 4 w=1	9 4 w=65	58 4 w=29	23 4 w=72	36 4 w=28	55 4 w=13	68 4 w=17	77 4 w=35	89 4 w=32	
","Final solution: 381
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1009,10,527,OK,0,9.731,146,471,"=6	28 0 w=12	22 2 w=0	27 0 w=13	24 4 w=2	17 0 w=12	11 3 w=6	3 3 w=13	10 1 w=9	3 4 w=0	4 4 w=1	29 0 w=7	15 4 w=7	8 3 w=9	2 3 w=9	27 4 w=7	22 6 w=10	28 2 w=8	5 5 w=8	18 7 w=4	7 4 w=3	20 6 w=7	5 6 w=3	18 8 w=5	11 5 w=4	12 4 w=14	0 5 w=5	6 4 w=5	
12	3 1 w=2	14 0 w=9	26 0 w=12	25 0 w=14	1 1 w=0	0 1 w=4	18 3 w=3	10 2 w=9	9 3 w=5	29 5 w=13	2 5 w=7	15 7 w=10	
16	12 0 w=13	16 2 w=7	24 2 w=5	0 0 w=5	14 1 w=6	0 2 w=4	16 3 w=9	23 2 w=3	25 2 w=14	14 3 w=8	25 4 w=5	4 6 w=6	14 4 w=6	1 5 w=0	23 4 w=5	27 5 w=1	
","Final solution: 527
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk14,1_Brandimarte_14_workers,Brandimarte,1009,10,661,OK,0,9.737,210,640," 8 w=18	20 7 w=21	23 10 w=20	3 9 w=19	
41	7 0 w=11	7 1 w=3	1 1 w=15	5 0 w=17	8 2 w=7	26 0 w=6	15 1 w=2	9 2 w=18	25 0 w=20	20 0 w=15	1 4 w=15	14 3 w=14	12 4 w=13	8 4 w=20	24 3 w=19	9 4 w=16	27 2 w=3	12 5 w=14	17 3 w=3	16 2 w=12	13 3 w=2	29 6 w=7	10 5 w=12	1 7 w=20	21 4 w=15	28 6 w=3	9 6 w=1	27 5 w=17	21 5 w=14	12 8 w=2	13 6 w=15	29 8 w=4	22 6 w=8	23 9 w=2	3 7 w=1	29 9 w=14	10 8 w=12	25 6 w=3	2 7 w=19	10 9 w=0	19 7 w=10	
8	4 0 w=7	16 0 w=19	7 5 w=11	1 5 w=11	25 3 w=18	26 5 w=4	14 7 w=11	15 7 w=6	
","Final solution: 661
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,1009,10,174,OK,0,9.733,46,137,"w=0	13 0 w=3	15 1 w=6	13 2 w=6	11 0 w=6	1 4 w=4	11 1 w=3	6 3 w=4	5 1 w=0	4 1 w=2	4 2 w=1	4 3 w=0	2 2 w=0	16 3 w=0	16 4 w=3	12 2 w=4	2 4 w=4	
16	19 0 w=4	8 1 w=2	7 0 w=4	1 1 w=2	3 1 w=1	6 0 w=0	9 3 w=3	8 3 w=5	10 0 w=1	15 4 w=6	2 1 w=6	19 2 w=5	4 4 w=2	12 1 w=3	18 3 w=0	0 3 w=3	
25	2 0 w=4	16 0 w=6	9 0 w=0	14 0 w=5	17 1 w=3	14 1 w=0	18 1 w=0	17 2 w=5	9 1 w=5	14 2 w=2	8 2 w=6	6 1 w=6	15 3 w=0	6 4 w=2	10 1 w=4	10 2 w=2	10 3 w=4	5 2 w=5	19 3 w=4	10 4 w=6	17 4 w=3	13 4 w=4	12 4 w=1	14 4 w=6	0 4 w=0	
","Final solution: 174
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinksdata18,2a_Hurink_sdata_18_workers,Hurink_sdata,1009,10,1458,OK,0,9.724,363.721658986,1138," 0 w=5	1 0 w=2	10 2 w=1	0 1 w=5	12 1 w=6	19 1 w=2	7 1 w=6	13 2 w=3	18 2 w=4	2 2 w=0	4 0 w=0	17 2 w=0	9 3 w=3	15 1 w=6	8 3 w=2	6 3 w=3	5 4 w=0	14 4 w=0	
20	17 0 w=6	1 1 w=2	6 1 w=2	11 2 w=2	3 3 w=6	13 1 w=5	18 3 w=2	2 3 w=3	5 3 w=5	10 4 w=6	4 3 w=3	8 2 w=4	9 4 w=4	19 4 w=5	14 3 w=5	0 3 w=4	15 4 w=4	12 3 w=3	16 4 w=4	7 4 w=1	
20	16 1 w=1	8 0 w=1	2 1 w=6	6 0 w=4	3 1 w=0	14 2 w=5	11 4 w=6	19 2 w=2	10 3 w=5	5 1 w=3	7 3 w=6	18 4 w=1	1 3 w=2	9 2 w=1	17 3 w=5	4 4 w=2	15 2 w=5	0 4 w=3	13 4 w=6	12 4 w=3	
","Final solution: 1458
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,1009,10,61,OK,0,9.732,46,51.9999999894,"makespan=61
6	0 1 w=2	3 1 w=8	2 3 w=1	4 4 w=5	5 3 w=4	1 4 w=7	
6	1 0 w=0	5 0 w=5	3 0 w=6	0 2 w=7	4 1 w=5	2 4 w=0	
6	0 0 w=1	2 0 w=7	1 1 w=4	4 0 w=2	3 2 w=8	5 5 w=1	
6	2 1 w=3	5 1 w=1	3 3 w=4	0 3 w=7	4 5 w=3	1 5 w=6	
6	1 2 w=0	4 2 w=2	3 4 w=4	2 5 w=0	0 5 w=7	5 4 w=8	
6	2 2 w=3	5 2 w=6	4 3 w=3	0 4 w=6	1 3 w=5	3 5 w=2	
","Final solution: 61
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinksdata38,2a_Hurink_sdata_38_workers,Hurink_sdata,1009,10,2062,OK,0,9.731,598.20201001,1738,"3 w=3	7 3 w=12	11 3 w=7	20 4 w=6	17 3 w=8	9 5 w=9	8 3 w=9	13 4 w=2	26 7 w=2	22 7 w=1	21 6 w=6	14 9 w=8	19 6 w=3	5 8 w=13	3 8 w=5	25 9 w=11	15 4 w=5	28 9 w=0	6 3 w=2	18 5 w=2	4 7 w=9	24 7 w=12	12 5 w=13	1 4 w=5	0 6 w=13	29 5 w=6	
30	12 0 w=8	9 0 w=3	26 2 w=5	8 1 w=3	25 3 w=12	20 1 w=0	28 1 w=0	2 3 w=0	22 4 w=8	7 6 w=9	29 1 w=2	27 8 w=2	17 6 w=10	3 5 w=13	14 7 w=14	23 4 w=3	21 5 w=10	13 7 w=9	0 4 w=2	4 5 w=11	5 9 w=11	11 9 w=7	10 2 w=0	19 8 w=2	18 4 w=3	24 5 w=4	16 6 w=6	15 6 w=0	6 8 w=5	1 5 w=1	
","Final solution: 2062
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinksdata40,2a_Hurink_sdata_40_workers,Hurink_sdata,1009,10,1435,OK,0,9.729,914,1329,"4 w=8	3 10 w=14	2 7 w=11	11 9 w=0	4 10 w=6	12 14 w=0	1 14 w=1	6 14 w=11	
15	3 1 w=0	10 1 w=4	11 0 w=9	13 3 w=0	8 6 w=4	2 5 w=19	0 8 w=17	6 7 w=21	12 9 w=15	5 10 w=16	9 12 w=10	14 13 w=0	7 12 w=19	1 13 w=8	4 14 w=12	
15	14 0 w=17	9 3 w=7	5 6 w=17	3 8 w=21	7 7 w=7	10 9 w=13	11 7 w=15	12 8 w=9	6 5 w=20	4 8 w=3	8 7 w=8	1 10 w=11	13 7 w=7	2 8 w=21	0 9 w=21	
15	7 4 w=4	1 4 w=16	12 5 w=16	0 5 w=20	9 5 w=10	6 4 w=5	11 11 w=1	3 13 w=5	5 12 w=7	10 13 w=6	8 13 w=8	14 14 w=4	13 12 w=17	2 13 w=13	4 13 w=16	
","Final solution: 1435
Schedule exported to ../../output.csv
"
