layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer2_public402,Behnke1,,BehnkeGeiger,1009,10,97,OK,0,10.166,88,88,"makespan=97
2	4 0 w=23	5 0 w=5	
4	6 0 w=11	9 0 w=2	1 0 w=24	2 0 w=27	
2	0 0 w=1	3 0 w=17	
2	7 0 w=4	8 0 w=21	
2	9 1 w=0	0 3 w=25	
2	9 3 w=4	1 2 w=10	
3	4 1 w=3	5 1 w=8	4 3 w=12	
0	
4	6 2 w=2	4 2 w=6	5 3 w=28	1 3 w=3	
3	0 2 w=12	7 2 w=18	8 2 w=6	
3	0 1 w=28	9 2 w=7	7 3 w=5	
0	
2	3 1 w=10	3 3 w=22	
4	6 1 w=14	7 1 w=11	6 3 w=1	5 2 w=3	
3	1 1 w=23	3 2 w=24	8 3 w=18	
4	8 1 w=20	2 1 w=0	2 2 w=8	2 3 w=23	
2	6 4 w=23	2 4 w=16	
3	9 4 w=1	5 4 w=6	1 4 w=5	
2	4 4 w=4	7 4 w=24	
3	0 4 w=15	3 4 w=7	8 4 w=15	
","Final solution: 97
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1013,10,97,OK,0,10.989,88,88,"makespan=97
3	5 0 w=6	8 0 w=12	1 0 w=2	
3	9 0 w=7	3 0 w=26	4 0 w=23	
2	0 0 w=21	2 0 w=7	
2	7 0 w=4	6 0 w=1	
0	
4	9 1 w=0	7 2 w=21	7 3 w=18	1 2 w=6	
2	0 3 w=25	4 3 w=11	
4	5 1 w=14	3 1 w=27	8 2 w=6	4 2 w=3	
0	
2	0 2 w=19	5 3 w=27	
5	0 1 w=8	9 2 w=29	6 2 w=11	4 1 w=5	9 3 w=14	
0	
4	8 1 w=20	1 1 w=4	3 3 w=1	1 3 w=3	
3	7 1 w=24	6 1 w=5	6 3 w=1	
3	5 2 w=9	3 2 w=29	8 3 w=24	
3	2 1 w=8	2 2 w=2	2 3 w=16	
2	6 4 w=23	5 4 w=29	
3	0 4 w=2	9 4 w=18	1 4 w=5	
3	7 4 w=17	2 4 w=12	4 4 w=6	
2	3 4 w=7	8 4 w=19	
","Final solution: 97
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1019,10,120,OK,0,10.058,88,88,"an=120
5	5 0 w=5	4 0 w=18	8 0 w=12	7 0 w=4	3 0 w=15	
5	9 0 w=8	6 0 w=11	1 0 w=17	0 0 w=28	2 0 w=19	
0	
0	
5	9 1 w=2	4 1 w=5	6 3 w=27	7 3 w=14	0 3 w=0	
0	
3	5 1 w=26	4 3 w=11	3 1 w=21	
0	
0	
0	
4	9 2 w=21	9 3 w=13	0 1 w=14	8 2 w=24	
4	4 2 w=8	6 2 w=3	7 2 w=28	8 3 w=9	
0	
4	6 1 w=14	5 2 w=27	7 1 w=5	1 3 w=3	
5	1 1 w=20	1 2 w=10	0 2 w=18	3 2 w=4	2 3 w=21	
5	8 1 w=2	5 3 w=21	2 1 w=22	2 2 w=8	3 3 w=27	
3	4 4 w=17	1 4 w=16	0 4 w=22	
0	
4	9 4 w=7	5 4 w=6	7 4 w=13	2 4 w=14	
3	6 4 w=23	8 4 w=7	3 4 w=29	
","Final solution: 120
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1021,10,91,OK,0,11.508,88,88,"makespan=91
3	5 0 w=5	8 0 w=8	1 0 w=3	
3	2 0 w=27	9 0 w=14	6 0 w=9	
2	0 0 w=1	4 0 w=23	
2	7 0 w=25	3 0 w=4	
4	2 1 w=1	4 1 w=25	7 3 w=8	4 2 w=27	
0	
3	5 1 w=26	0 3 w=0	4 3 w=18	
0	
3	0 2 w=11	5 3 w=1	6 2 w=2	
3	7 1 w=13	7 2 w=5	8 3 w=18	
5	0 1 w=6	9 1 w=2	8 2 w=6	9 2 w=20	9 3 w=23	
0	
3	1 1 w=21	3 1 w=19	1 3 w=5	
3	5 2 w=29	6 1 w=14	6 3 w=1	
1	3 2 w=29	
5	8 1 w=20	2 2 w=12	1 2 w=10	2 3 w=0	3 3 w=15	
2	0 4 w=17	6 4 w=13	
3	5 4 w=6	1 4 w=5	9 4 w=7	
3	7 4 w=24	2 4 w=14	4 4 w=9	
2	8 4 w=7	3 4 w=26	
","Final solution: 91
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1031,10,95,OK,0,9.916,88,88,"espan=95
3	4 0 w=10	8 0 w=12	2 0 w=21	
3	6 0 w=16	1 0 w=0	9 0 w=2	
2	0 0 w=1	5 0 w=9	
2	7 0 w=25	3 0 w=4	
4	4 1 w=5	4 3 w=11	7 3 w=8	0 3 w=21	
0	
2	5 1 w=26	8 2 w=14	
0	
0	
0	
5	0 1 w=13	6 2 w=22	9 1 w=28	9 2 w=12	9 3 w=6	
3	4 2 w=23	1 3 w=24	8 3 w=18	
3	0 2 w=1	3 1 w=3	5 3 w=15	
4	6 1 w=14	1 1 w=6	6 3 w=16	5 2 w=29	
4	7 1 w=8	7 2 w=19	3 2 w=26	3 3 w=1	
5	8 1 w=20	1 2 w=10	2 1 w=7	2 2 w=11	2 3 w=16	
2	6 4 w=23	5 4 w=29	
3	1 4 w=5	9 4 w=25	0 4 w=2	
3	4 4 w=9	7 4 w=17	2 4 w=9	
2	8 4 w=7	3 4 w=18	
","Final solution: 95
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1033,10,94,OK,0,11.250,88,88,"span=94
3	1 0 w=19	8 0 w=8	5 0 w=5	
3	2 0 w=27	6 0 w=11	3 0 w=26	
2	4 0 w=0	0 0 w=1	
2	7 0 w=1	9 0 w=9	
4	2 1 w=29	2 2 w=24	7 3 w=8	0 3 w=0	
0	
2	8 2 w=6	4 3 w=11	
2	5 1 w=14	6 3 w=10	
2	6 2 w=2	5 3 w=1	
4	7 2 w=28	0 2 w=20	3 1 w=4	9 3 w=14	
4	4 1 w=20	0 1 w=2	9 1 w=18	9 2 w=28	
3	4 2 w=3	8 3 w=10	1 3 w=24	
0	
2	7 1 w=14	6 1 w=25	
4	1 1 w=23	1 2 w=16	5 2 w=9	3 2 w=19	
3	8 1 w=17	2 3 w=0	3 3 w=16	
2	4 4 w=25	6 4 w=23	
3	8 4 w=29	1 4 w=27	9 4 w=25	
3	2 4 w=17	7 4 w=18	5 4 w=6	
2	0 4 w=17	3 4 w=7	
","Final solution: 94
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1039,10,91,OK,0,9.811,88,88,"makespan=91
3	5 0 w=10	8 0 w=8	1 0 w=0	
3	4 0 w=5	9 0 w=12	3 0 w=4	
2	0 0 w=1	2 0 w=7	
2	6 0 w=15	7 0 w=10	
3	5 1 w=17	0 3 w=21	7 3 w=8	
4	4 1 w=3	2 1 w=24	1 2 w=26	9 3 w=14	
2	9 1 w=23	4 3 w=13	
0	
0	
2	0 2 w=12	7 2 w=5	
4	0 1 w=2	6 2 w=22	8 2 w=6	8 3 w=6	
2	4 2 w=18	9 2 w=19	
2	1 1 w=17	3 1 w=3	
3	6 1 w=5	7 1 w=28	1 3 w=5	
3	5 2 w=9	5 3 w=1	3 2 w=15	
5	8 1 w=20	6 3 w=16	2 2 w=18	2 3 w=2	3 3 w=16	
2	0 4 w=28	1 4 w=5	
3	6 4 w=22	5 4 w=23	9 4 w=2	
3	4 4 w=4	7 4 w=13	2 4 w=14	
2	8 4 w=7	3 4 w=19	
","Final solution: 91
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1049,10,108,OK,0,10.625,88,88,"makespan=108
4	8 0 w=21	5 0 w=5	1 0 w=0	4 0 w=18	
4	6 0 w=11	3 0 w=22	9 0 w=2	2 0 w=19	
0	
2	7 0 w=4	0 0 w=17	
4	5 1 w=26	4 1 w=3	6 3 w=22	0 3 w=0	
3	7 3 w=8	4 2 w=8	9 3 w=14	
4	8 2 w=12	9 1 w=0	2 1 w=23	4 3 w=4	
0	
0	
3	7 1 w=3	0 1 w=5	0 2 w=19	
0	
3	6 2 w=27	8 3 w=6	9 2 w=11	
3	1 1 w=23	3 1 w=4	5 3 w=0	
0	
3	6 1 w=14	5 2 w=1	3 2 w=29	
7	8 1 w=25	7 2 w=3	1 2 w=10	1 3 w=3	3 3 w=16	2 2 w=8	2 3 w=21	
0	
3	1 4 w=24	5 4 w=6	9 4 w=7	
4	7 4 w=17	6 4 w=23	4 4 w=9	2 4 w=2	
3	8 4 w=7	3 4 w=29	0 4 w=20	
","Final solution: 108
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1051,10,100,OK,0,11.249,88,88,"span=100
3	5 0 w=6	1 0 w=0	2 0 w=15	
4	4 0 w=15	6 0 w=11	3 0 w=12	9 0 w=5	
0	
3	7 0 w=16	0 0 w=24	8 0 w=11	
0	
3	1 2 w=10	0 3 w=21	9 3 w=14	
4	5 1 w=1	4 3 w=4	2 1 w=29	8 2 w=6	
0	
0	
2	7 2 w=6	0 2 w=19	
4	4 1 w=19	0 1 w=14	9 1 w=0	9 2 w=11	
4	4 2 w=0	1 3 w=24	6 2 w=3	8 3 w=18	
3	1 1 w=23	5 3 w=28	3 3 w=1	
4	7 1 w=13	6 1 w=5	7 3 w=4	6 3 w=16	
2	5 2 w=9	3 2 w=14	
4	3 1 w=20	8 1 w=2	2 2 w=8	2 3 w=12	
2	5 4 w=29	6 4 w=23	
3	1 4 w=13	0 4 w=9	9 4 w=7	
2	7 4 w=23	2 4 w=20	
3	4 4 w=18	3 4 w=24	8 4 w=2	
","Final solution: 100
Schedule exported to ../../output.csv
"
layer2_public402,Behnke1,,BehnkeGeiger,1061,10,94,OK,0,11.654,88,88,"pan=94
3	5 0 w=19	8 0 w=12	9 0 w=13	
3	4 0 w=15	2 0 w=27	3 0 w=12	
2	0 0 w=1	1 0 w=6	
2	7 0 w=4	6 0 w=25	
4	4 1 w=28	2 1 w=2	0 3 w=0	7 3 w=8	
0	
3	5 1 w=20	4 3 w=11	3 1 w=1	
0	
2	0 2 w=4	8 2 w=2	
0	
4	0 1 w=14	9 1 w=28	9 2 w=21	9 3 w=4	
3	4 2 w=15	6 2 w=27	8 3 w=17	
3	1 1 w=23	1 2 w=10	5 3 w=15	
4	7 1 w=3	6 1 w=5	5 2 w=18	6 3 w=16	
2	7 2 w=19	3 2 w=8	
5	8 1 w=26	2 2 w=8	2 3 w=16	1 3 w=3	3 3 w=16	
2	2 4 w=19	5 4 w=29	
3	0 4 w=24	1 4 w=10	9 4 w=2	
3	4 4 w=29	7 4 w=25	8 4 w=7	
2	6 4 w=23	3 4 w=14	
","Final solution: 94
Schedule exported to ../../output.csv
"
