key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,reference_best,current_best,best_minus_lb,best_minus_ub,best_minus_reference,best_minus_current,status
0_BehnkeGeiger_42_workers,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,10,10,92,103.100,80,80,,,12,12,,,OK
0_BehnkeGeiger_46_workers,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,10,10,121,125.400,110,110,,,11,11,,,OK
0_BehnkeGeiger_60_workers,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,10,0,,,491,491,,,,,,,PARTIAL_OR_ERROR
1_Brandimarte_12_workers,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,10,10,496,513.800,479,479,,,17,17,,,OK
1_Brandimarte_14_workers,BrandimarteMk14,1_Brandimarte_14_workers,Brandimarte,10,10,664,681.500,640,640,,,24,24,,,OK
1_Brandimarte_7_workers,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,10,10,172,195.400,143,143,,,29,29,,,OK
2a_Hurink_sdata_18_workers,Hurinksdata18,2a_Hurink_sdata_18_workers,Hurink_sdata,10,10,1320,1482.600,1179,1179,,,141,141,,,OK
2a_Hurink_sdata_1_workers,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,10,10,53,58.100,52,52,,,1,1,,,OK
2a_Hurink_sdata_38_workers,Hurinksdata38,2a_Hurink_sdata_38_workers,Hurink_sdata,10,10,2151,2335.100,2005,2005,,,146,146,,,OK
2a_Hurink_sdata_40_workers,Hurinksdata40,2a_Hurink_sdata_40_workers,Hurink_sdata,10,10,1567,1761.600,1640,1640,,,-73,-73,,,OK
2a_Hurink_sdata_54_workers,Hurinksdata54,2a_Hurink_sdata_54_workers,Hurink_sdata,10,10,8601,9202.600,7954,7954,,,647,647,,,OK
2a_Hurink_sdata_61_workers,Hurinksdata61,2a_Hurink_sdata_61_workers,Hurink_sdata,10,10,962,1014.700,1468,1468,,,-506,-506,,,OK
2a_Hurink_sdata_63_workers,Hurinksdata63,2a_Hurink_sdata_63_workers,Hurink_sdata,10,10,415,436.900,605,605,,,-190,-190,,,OK
2b_Hurink_edata_1_workers,Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,10,10,51,52,51,51,,,0,0,,,OK
2b_Hurink_edata_6_workers,Hurinkedata6,2b_Hurink_edata_6_workers,Hurink_edata,10,10,562,622.500,601,601,,,-39,-39,,,OK
2c_Hurink_rdata_28_workers,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,10,10,882,936.700,909,909,,,-27,-27,,,OK
2c_Hurink_rdata_38_workers,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,10,8,1745,1864.750,1780,1780,,,-35,-35,,,PARTIAL_OR_ERROR
2c_Hurink_rdata_50_workers,Hurinkrdata50,2c_Hurink_rdata_50_workers,Hurink_rdata,10,10,5947,6208.400,5791,5791,,,156,156,,,OK
2d_Hurink_vdata_18_workers,Hurinkvdata18,2d_Hurink_vdata_18_workers,Hurink_vdata,10,10,1152,1218.600,1827,1827,,,-675,-675,,,OK
2d_Hurink_vdata_30_workers,Hurinkvdata30,2d_Hurink_vdata_30_workers,Hurink_vdata,10,1,1217,1217,1178,1178,,,39,39,,,PARTIAL_OR_ERROR
2d_Hurink_vdata_5_workers,Hurinkvdata5,2d_Hurink_vdata_5_workers,Hurink_vdata,10,10,539,559.600,580,580,,,-41,-41,,,OK
3_DPpaulli_15_workers,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,10,0,,,2328,2328,,,,,,,PARTIAL_OR_ERROR
3_DPpaulli_18_workers,DPpaulli18,3_DPpaulli_18_workers,DPpaulli,10,0,,,2305,2305,,,,,,,PARTIAL_OR_ERROR
3_DPpaulli_1_workers,DPpaulli1,3_DPpaulli_1_workers,DPpaulli,10,10,3079,3598.400,2728,2728,,,351,351,,,OK
3_DPpaulli_9_workers,DPpaulli9,3_DPpaulli_9_workers,DPpaulli,10,0,,,2270,2270,,,,,,,PARTIAL_OR_ERROR
4_ChambersBarnes_10_workers,ChambersBarnes10,4_ChambersBarnes_10_workers,ChambersBarnes,10,10,992,1050.200,949,949,,,43,43,,,OK
6_Fattahi_14_workers,Fattahi14,6_Fattahi_14_workers,Fattahi,10,10,556,574.500,538,538,,,18,18,,,OK
6_Fattahi_20_workers,Fattahi20,6_Fattahi_20_workers,Fattahi,10,10,1182,1227.500,1208,1208,,,-26,-26,,,OK
Behnke1,Behnke1,,BehnkeGeiger,10,10,91,98.700,88,88,,,3,3,,,OK
Behnke10,Behnke10,,BehnkeGeiger,10,10,135,142.200,136,136,,,-1,-1,,,OK
Behnke11,Behnke11,,BehnkeGeiger,10,0,,,294,294,,,,,,,PARTIAL_OR_ERROR
Behnke12,Behnke12,,BehnkeGeiger,10,0,,,289,289,,,,,,,PARTIAL_OR_ERROR
Behnke13,Behnke13,,BehnkeGeiger,10,0,,,290,290,,,,,,,PARTIAL_OR_ERROR
Behnke14,Behnke14,,BehnkeGeiger,10,0,,,293,293,,,,,,,PARTIAL_OR_ERROR
Behnke15,Behnke15,,BehnkeGeiger,10,0,,,295,295,,,,,,,PARTIAL_OR_ERROR
Behnke16,Behnke16,,BehnkeGeiger,10,0,,,705,705,,,,,,,PARTIAL_OR_ERROR
Behnke17,Behnke17,,BehnkeGeiger,10,0,,,693,693,,,,,,,PARTIAL_OR_ERROR
Behnke18,Behnke18,,BehnkeGeiger,10,0,,,694,694,,,,,,,PARTIAL_OR_ERROR
Behnke19,Behnke19,,BehnkeGeiger,10,0,,,698,698,,,,,,,PARTIAL_OR_ERROR
Behnke2,Behnke2,,BehnkeGeiger,10,10,96,103.800,92,92,,,4,4,,,OK
Behnke20,Behnke20,,BehnkeGeiger,10,0,,,702,702,,,,,,,PARTIAL_OR_ERROR
Behnke21,Behnke21,,BehnkeGeiger,10,10,86,94.700,81,81,,,5,5,,,OK
Behnke22,Behnke22,,BehnkeGeiger,10,10,94,102.600,82,82,,,12,12,,,OK
Behnke23,Behnke23,,BehnkeGeiger,10,10,91,99.100,80,80,,,11,11,,,OK
Behnke24,Behnke24,,BehnkeGeiger,10,10,91,100.200,82,82,,,9,9,,,OK
Behnke25,Behnke25,,BehnkeGeiger,10,10,94,101.100,82,82,,,12,12,,,OK
Behnke26,Behnke26,,BehnkeGeiger,10,10,118,124.700,110,110,,,8,8,,,OK
Behnke27,Behnke27,,BehnkeGeiger,10,10,130,133.800,120,120,,,10,10,,,OK
Behnke28,Behnke28,,BehnkeGeiger,10,10,122,126.300,112,112,,,10,10,,,OK
Behnke29,Behnke29,,BehnkeGeiger,10,10,124,134.200,113,113,,,11,11,,,OK
Behnke3,Behnke3,,BehnkeGeiger,10,10,94,104.200,90,90,,,4,4,,,OK
Behnke30,Behnke30,,BehnkeGeiger,10,10,128,131.200,117,117,,,11,11,,,OK
Behnke31,Behnke31,,BehnkeGeiger,10,0,,,260,260,,,,,,,PARTIAL_OR_ERROR
Behnke32,Behnke32,,BehnkeGeiger,10,0,,,268,268,,,,,,,PARTIAL_OR_ERROR
Behnke33,Behnke33,,BehnkeGeiger,10,0,,,258,258,,,,,,,PARTIAL_OR_ERROR
Behnke34,Behnke34,,BehnkeGeiger,10,0,,,259,259,,,,,,,PARTIAL_OR_ERROR
Behnke35,Behnke35,,BehnkeGeiger,10,0,,,251,251,,,,,,,PARTIAL_OR_ERROR
Behnke36,Behnke36,,BehnkeGeiger,10,0,,,521,521,,,,,,,PARTIAL_OR_ERROR
Behnke37,Behnke37,,BehnkeGeiger,10,0,,,527,527,,,,,,,PARTIAL_OR_ERROR
Behnke38,Behnke38,,BehnkeGeiger,10,0,,,510,510,,,,,,,PARTIAL_OR_ERROR
Behnke39,Behnke39,,BehnkeGeiger,10,0,,,526,526,,,,,,,PARTIAL_OR_ERROR
Behnke4,Behnke4,,BehnkeGeiger,10,10,98,104,93,93,,,5,5,,,OK
Behnke40,Behnke40,,BehnkeGeiger,10,0,,,521,521,,,,,,,PARTIAL_OR_ERROR
Behnke41,Behnke41,,BehnkeGeiger,10,10,94,103.400,80,80,,,14,14,,,OK
Behnke43,Behnke43,,BehnkeGeiger,10,10,89,102.300,80,80,,,9,9,,,OK
Behnke44,Behnke44,,BehnkeGeiger,10,10,92,96.700,78,78,,,14,14,,,OK
Behnke45,Behnke45,,BehnkeGeiger,10,10,91,102.500,80,80,,,11,11,,,OK
Behnke47,Behnke47,,BehnkeGeiger,10,10,125,129.300,113,113,,,12,12,,,OK
Behnke48,Behnke48,,BehnkeGeiger,10,10,129,135.300,119,119,,,10,10,,,OK
Behnke49,Behnke49,,BehnkeGeiger,10,10,118,124.100,108,108,,,10,10,,,OK
Behnke5,Behnke5,,BehnkeGeiger,10,10,90,99.800,87,87,,,3,3,,,OK
Behnke50,Behnke50,,BehnkeGeiger,10,10,129,133.900,120,120,,,9,9,,,OK
Behnke51,Behnke51,,BehnkeGeiger,10,0,,,244,244,,,,,,,PARTIAL_OR_ERROR
Behnke52,Behnke52,,BehnkeGeiger,10,0,,,239,239,,,,,,,PARTIAL_OR_ERROR
Behnke53,Behnke53,,BehnkeGeiger,10,0,,,237,237,,,,,,,PARTIAL_OR_ERROR
Behnke54,Behnke54,,BehnkeGeiger,10,0,,,251,251,,,,,,,PARTIAL_OR_ERROR
Behnke55,Behnke55,,BehnkeGeiger,10,0,,,247,247,,,,,,,PARTIAL_OR_ERROR
Behnke56,Behnke56,,BehnkeGeiger,10,0,,,474,474,,,,,,,PARTIAL_OR_ERROR
Behnke57,Behnke57,,BehnkeGeiger,10,0,,,476,476,,,,,,,PARTIAL_OR_ERROR
Behnke58,Behnke58,,BehnkeGeiger,10,0,,,478,478,,,,,,,PARTIAL_OR_ERROR
Behnke59,Behnke59,,BehnkeGeiger,10,0,,,488,488,,,,,,,PARTIAL_OR_ERROR
Behnke6,Behnke6,,BehnkeGeiger,10,10,128,135.800,131,131,,,-3,-3,,,OK
Behnke7,Behnke7,,BehnkeGeiger,10,10,133,136.600,131,131,,,2,2,,,OK
Behnke8,Behnke8,,BehnkeGeiger,10,10,129,140,131,131,,,-2,-2,,,OK
Behnke9,Behnke9,,BehnkeGeiger,10,10,134,138,127,127,,,7,7,,,OK
BrandimarteMk1,BrandimarteMk1,,Brandimarte,10,10,39,39.600,39,39,,,0,0,,,OK
BrandimarteMk10,BrandimarteMk10,,Brandimarte,10,0,,,215,215,,,,,,,PARTIAL_OR_ERROR
BrandimarteMk11,BrandimarteMk11,,Brandimarte,10,10,718,767.100,620,620,,,98,98,,,OK
BrandimarteMk13,BrandimarteMk13,,Brandimarte,10,2,488,506.500,428,428,,,60,60,,,PARTIAL_OR_ERROR
BrandimarteMk15,BrandimarteMk15,,Brandimarte,10,2,456,456.500,374,374,,,82,82,,,PARTIAL_OR_ERROR
BrandimarteMk2,BrandimarteMk2,,Brandimarte,10,10,28,28.600,37,37,,,-9,-9,,,OK
BrandimarteMk3,BrandimarteMk3,,Brandimarte,10,10,190,195.600,184,184,,,6,6,,,OK
BrandimarteMk4,BrandimarteMk4,,Brandimarte,10,10,62,64.400,61,61,,,1,1,,,OK
BrandimarteMk5,BrandimarteMk5,,Brandimarte,10,10,177,192.300,167,167,,,10,10,,,OK
BrandimarteMk6,BrandimarteMk6,,Brandimarte,10,10,67,71.500,64,64,,,3,3,,,OK
BrandimarteMk8,BrandimarteMk8,,Brandimarte,10,10,495,520.700,483,483,,,12,12,,,OK
BrandimarteMk9,BrandimarteMk9,,Brandimarte,10,10,334,380.700,302,302,,,32,32,,,OK
ChambersBarnes1,ChambersBarnes1,,ChambersBarnes,10,10,973,1021.600,906,906,,,67,67,,,OK
ChambersBarnes11,ChambersBarnes11,,ChambersBarnes,10,10,1003,1062.900,943,943,,,60,60,,,OK
