layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer2_public402,Hurinkvdata61,,Hurink_vdata,1009,10,563,OK,0,12.037,591,591,"=2	0 2 w=2	4 4 w=0	6 4 w=13	6 5 w=2	7 4 w=10	5 5 w=4	6 8 w=14	5 9 w=6	
10	0 0 w=6	7 0 w=0	3 2 w=9	5 2 w=10	8 2 w=1	8 4 w=14	8 6 w=6	5 8 w=11	0 8 w=10	8 9 w=7	
11	8 0 w=14	7 1 w=8	4 3 w=7	3 4 w=3	4 5 w=5	4 6 w=1	5 6 w=11	1 6 w=8	1 7 w=12	7 8 w=14	2 9 w=10	
9	1 0 w=11	5 1 w=10	4 2 w=11	2 2 w=3	2 3 w=10	6 6 w=11	0 6 w=7	0 7 w=2	0 9 w=2	
8	6 1 w=6	6 2 w=13	6 3 w=14	5 4 w=0	1 3 w=13	4 7 w=5	8 8 w=5	9 9 w=0	
11	6 0 w=7	2 0 w=12	8 1 w=7	9 5 w=4	0 4 w=7	7 3 w=9	6 7 w=9	9 7 w=9	8 7 w=13	4 9 w=1	3 9 w=8	
","Final solution: 563
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1013,10,571,OK,0,12.317,591,591," w=8	5 8 w=10	3 8 w=14	2 8 w=4	
12	0 0 w=1	9 1 w=8	6 0 w=7	1 1 w=14	4 3 w=11	3 3 w=0	9 5 w=4	6 4 w=13	0 6 w=14	1 5 w=14	9 8 w=4	8 9 w=9	
8	7 1 w=1	0 3 w=13	0 4 w=11	2 4 w=14	3 4 w=3	6 5 w=7	0 7 w=11	5 9 w=3	
11	3 0 w=11	9 2 w=4	5 1 w=11	0 2 w=11	2 3 w=10	7 4 w=7	1 3 w=1	6 6 w=1	0 8 w=0	0 9 w=10	2 7 w=8	
11	1 0 w=3	6 1 w=13	3 2 w=6	7 3 w=9	5 4 w=8	8 6 w=9	1 6 w=9	8 8 w=6	2 6 w=1	9 9 w=11	6 9 w=2	
12	2 0 w=2	2 1 w=0	4 1 w=8	4 2 w=8	5 3 w=14	4 5 w=6	9 6 w=8	9 7 w=8	8 7 w=6	7 8 w=7	7 9 w=4	3 9 w=8	
","Final solution: 571
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1019,10,773,OK,0,13.669,591,591,"9	0 3 w=2	4 3 w=7	8 8 w=4	5 6 w=8	5 7 w=8	7 6 w=0	7 7 w=14	0 8 w=10	
9	0 0 w=0	8 3 w=12	1 3 w=10	0 5 w=14	5 8 w=9	3 6 w=10	3 7 w=6	4 8 w=7	1 9 w=6	
11	8 0 w=14	9 2 w=3	2 4 w=2	2 5 w=9	0 4 w=1	7 3 w=3	6 7 w=13	2 8 w=1	2 9 w=10	1 8 w=7	3 8 w=12	
11	3 0 w=1	9 1 w=8	1 1 w=14	2 3 w=7	6 3 w=0	6 4 w=8	7 2 w=12	7 4 w=7	7 5 w=5	0 7 w=9	0 9 w=2	
9	2 0 w=2	8 1 w=6	9 4 w=3	6 2 w=11	8 6 w=7	5 4 w=5	1 5 w=9	1 6 w=4	5 9 w=5	
10	9 0 w=0	2 1 w=0	6 0 w=7	6 1 w=11	9 5 w=5	4 2 w=11	3 4 w=0	2 6 w=1	9 9 w=1	3 9 w=0	
","Final solution: 773
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1021,10,565,OK,0,11.991,591,591,"=14	0 2 w=11	7 2 w=6	7 4 w=10	7 5 w=8	7 6 w=0	7 7 w=10	6 8 w=6	
11	7 0 w=3	7 1 w=10	4 4 w=14	8 3 w=5	8 4 w=4	2 5 w=7	3 6 w=14	5 8 w=2	6 7 w=8	4 8 w=5	4 9 w=13	
10	8 0 w=14	6 2 w=4	4 3 w=7	2 4 w=11	0 4 w=1	5 6 w=5	1 6 w=6	7 8 w=14	1 8 w=9	2 8 w=14	
8	6 1 w=8	2 3 w=14	9 5 w=2	9 6 w=12	0 6 w=9	0 7 w=13	0 8 w=4	1 9 w=12	
9	2 0 w=2	2 1 w=12	8 1 w=6	6 3 w=12	5 4 w=7	4 6 w=3	9 8 w=7	9 9 w=1	3 9 w=8	
12	6 0 w=9	1 0 w=4	1 1 w=0	4 2 w=2	6 4 w=13	4 5 w=14	6 5 w=9	3 4 w=13	9 7 w=13	2 6 w=2	8 7 w=6	0 9 w=3	
","Final solution: 565
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1031,10,633,OK,0,10.113,591,591,"6 5 w=0	6 6 w=0	1 4 w=11	8 8 w=5	5 7 w=8	6 8 w=7	
10	0 0 w=1	0 2 w=7	9 2 w=2	4 3 w=4	4 4 w=14	8 4 w=14	2 5 w=9	1 7 w=6	3 7 w=1	0 9 w=3	
10	7 0 w=13	7 1 w=1	2 3 w=3	0 4 w=4	4 5 w=10	8 5 w=6	5 4 w=0	5 6 w=3	2 9 w=10	3 8 w=12	
9	3 0 w=0	2 0 w=2	9 1 w=8	7 2 w=11	1 3 w=1	9 5 w=2	9 6 w=13	0 8 w=0	1 9 w=10	
11	0 1 w=8	6 2 w=5	4 2 w=4	7 3 w=9	3 2 w=6	3 3 w=8	8 6 w=1	1 6 w=4	9 7 w=11	5 8 w=10	3 9 w=8	
12	1 0 w=11	9 0 w=1	1 1 w=0	3 1 w=8	9 3 w=2	8 3 w=6	0 5 w=3	2 6 w=10	3 4 w=11	7 8 w=7	1 8 w=12	5 9 w=9	
","Final solution: 633
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1033,10,591,OK,0,11.208,591,591,"3	3 5 w=4	4 6 w=1	5 5 w=5	5 6 w=8	4 8 w=5	5 9 w=6	
12	6 0 w=8	0 0 w=0	9 1 w=8	1 1 w=0	5 1 w=9	4 4 w=12	2 5 w=12	3 6 w=8	0 6 w=6	5 7 w=10	5 8 w=9	8 9 w=7	
10	8 0 w=14	8 1 w=7	2 4 w=2	0 3 w=1	2 6 w=4	7 5 w=3	1 6 w=14	7 8 w=0	2 8 w=2	2 9 w=12	
9	2 2 w=2	2 3 w=10	7 2 w=3	6 3 w=2	6 4 w=0	6 6 w=12	0 7 w=3	0 8 w=13	0 9 w=10	
11	2 0 w=2	2 1 w=12	6 1 w=11	4 2 w=4	3 3 w=0	3 4 w=0	7 3 w=9	5 4 w=10	4 7 w=2	9 8 w=4	9 9 w=1	
10	1 0 w=1	5 0 w=6	1 2 w=8	8 3 w=6	4 5 w=8	0 4 w=7	9 6 w=11	9 7 w=0	1 8 w=8	3 9 w=8	
","Final solution: 591
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1039,10,570,OK,0,11.120,591,591,"2 4 w=9	7 6 w=7	7 7 w=7	6 8 w=2	
13	0 0 w=13	9 2 w=13	7 1 w=8	5 2 w=11	0 3 w=13	5 4 w=0	6 4 w=1	0 6 w=4	1 5 w=6	3 7 w=1	4 8 w=1	0 8 w=10	1 9 w=3	
10	1 0 w=1	4 3 w=7	9 5 w=11	1 3 w=13	3 4 w=0	5 6 w=8	2 5 w=9	2 6 w=5	2 7 w=4	2 8 w=14	
9	9 1 w=8	6 1 w=12	0 2 w=0	2 2 w=2	2 3 w=7	3 3 w=9	9 7 w=5	0 7 w=14	0 9 w=7	
11	6 0 w=7	2 0 w=2	5 1 w=6	2 1 w=12	6 3 w=12	4 6 w=5	4 7 w=7	5 7 w=6	5 8 w=5	8 8 w=6	9 9 w=0	
11	8 0 w=14	4 1 w=10	4 2 w=5	4 5 w=3	6 5 w=10	6 6 w=2	6 7 w=0	8 7 w=8	1 8 w=3	3 9 w=8	2 9 w=13	
","Final solution: 570
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1049,10,560,OK,0,11.166,591,591,"=10	5 6 w=8	6 5 w=7	6 6 w=1	6 7 w=9	6 8 w=13	
10	6 0 w=2	1 1 w=14	4 3 w=11	4 4 w=3	8 3 w=1	3 4 w=6	0 6 w=0	3 7 w=7	1 7 w=3	8 9 w=4	
12	8 0 w=7	9 2 w=13	9 3 w=13	6 2 w=5	2 3 w=2	5 5 w=8	9 6 w=11	2 5 w=9	3 8 w=11	2 7 w=6	2 8 w=12	2 9 w=10	
9	9 1 w=6	6 1 w=3	0 2 w=12	0 3 w=4	1 3 w=7	5 7 w=2	9 7 w=4	0 7 w=2	0 8 w=0	
11	3 0 w=12	2 0 w=8	2 1 w=12	9 4 w=10	5 4 w=0	4 6 w=10	1 5 w=8	5 8 w=10	9 8 w=10	2 6 w=10	3 9 w=8	
10	0 0 w=13	1 0 w=4	4 1 w=8	5 2 w=7	5 3 w=14	4 5 w=12	0 4 w=4	0 5 w=2	8 7 w=6	4 9 w=1	
","Final solution: 560
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1051,10,620,OK,0,10.406,591,591," w=1	8 2 w=1	5 3 w=14	6 5 w=12	9 8 w=8	6 8 w=2	0 8 w=10	2 8 w=4	
12	9 1 w=8	0 0 w=2	1 1 w=14	6 2 w=0	3 4 w=12	8 3 w=0	4 4 w=4	3 6 w=7	3 7 w=3	1 7 w=3	8 6 w=3	8 9 w=7	
10	3 0 w=13	9 2 w=13	7 0 w=13	2 3 w=13	2 4 w=3	4 5 w=0	5 5 w=10	6 7 w=13	0 7 w=11	2 9 w=10	
10	1 0 w=1	6 1 w=3	9 5 w=6	0 2 w=4	6 4 w=13	8 4 w=5	2 7 w=7	0 6 w=9	8 7 w=7	0 9 w=8	
10	2 0 w=2	6 0 w=7	9 4 w=10	3 3 w=8	5 2 w=2	6 3 w=5	9 7 w=11	5 4 w=11	5 7 w=10	5 9 w=3	
8	8 0 w=6	8 1 w=5	9 6 w=11	0 4 w=4	0 5 w=2	4 7 w=5	3 9 w=2	4 9 w=1	
","Final solution: 620
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata61,,Hurink_vdata,1061,10,588,OK,0,11.961,591,591,"0 0 w=1	4 0 w=1	0 2 w=10	8 2 w=0	4 4 w=4	6 3 w=12	6 4 w=10	6 5 w=12	6 6 w=14	6 8 w=14	
13	9 1 w=8	7 1 w=7	5 2 w=6	9 5 w=6	4 3 w=11	6 2 w=3	4 5 w=10	3 4 w=3	3 6 w=3	5 7 w=12	3 7 w=6	0 8 w=10	4 9 w=13	
9	2 0 w=2	8 1 w=12	2 4 w=2	0 5 w=14	8 5 w=9	8 6 w=4	5 8 w=9	2 7 w=4	4 8 w=4	
9	3 0 w=4	9 2 w=4	2 2 w=2	2 3 w=14	4 2 w=8	7 5 w=7	0 6 w=2	0 7 w=11	0 9 w=10	
7	0 1 w=5	6 1 w=9	5 4 w=5	1 3 w=13	4 7 w=5	8 8 w=8	1 9 w=5	
10	2 1 w=6	3 1 w=8	4 1 w=3	7 3 w=9	9 6 w=8	9 7 w=8	2 6 w=1	7 8 w=10	9 9 w=1	3 9 w=8	
","Final solution: 588
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata62,,Hurink_vdata,1009,10,690,OK,0,11.536,678,678,"0 0 w=3	0 2 w=7	4 4 w=9	7 3 w=1	9 6 w=3	6 8 w=2	5 7 w=5	5 8 w=3	
10	9 1 w=2	4 2 w=1	8 2 w=6	8 3 w=14	5 4 w=2	8 5 w=10	0 5 w=4	3 7 w=10	4 8 w=9	2 9 w=11	
9	5 1 w=4	6 5 w=9	1 3 w=12	5 5 w=8	0 7 w=11	1 7 w=6	7 7 w=13	2 8 w=6	5 9 w=0	
11	2 0 w=13	1 0 w=10	6 4 w=7	2 3 w=2	5 3 w=5	8 4 w=1	9 5 w=4	0 6 w=14	3 8 w=8	0 8 w=12	0 9 w=12	
9	6 1 w=0	6 3 w=0	9 2 w=5	9 4 w=6	1 5 w=0	1 6 w=9	4 7 w=13	8 8 w=1	8 9 w=7	
11	6 0 w=2	3 1 w=6	8 1 w=13	1 2 w=11	6 6 w=4	3 4 w=13	4 5 w=6	2 6 w=3	6 9 w=0	3 9 w=8	9 9 w=13	
","Final solution: 690
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata62,,Hurink_vdata,1013,10,668,OK,0,11.319,678,678," w=2	4 6 w=4	8 8 w=8	5 8 w=3	5 9 w=6	
11	0 0 w=1	6 2 w=1	5 2 w=14	4 3 w=4	4 4 w=3	0 5 w=10	2 4 w=8	2 5 w=13	1 5 w=6	9 8 w=6	8 9 w=10	
10	8 0 w=3	7 1 w=3	9 2 w=10	1 3 w=7	8 5 w=13	0 7 w=11	9 7 w=11	1 7 w=4	2 8 w=7	2 9 w=4	
11	2 0 w=13	9 1 w=5	4 2 w=12	6 3 w=9	3 3 w=1	0 6 w=12	4 5 w=14	8 7 w=12	2 7 w=5	0 8 w=12	0 9 w=12	
9	4 0 w=12	2 1 w=8	6 1 w=0	7 3 w=2	3 2 w=2	9 4 w=6	3 4 w=5	6 7 w=1	6 8 w=2	
12	9 0 w=6	4 1 w=11	3 1 w=6	0 2 w=6	5 3 w=14	0 4 w=0	6 5 w=7	2 6 w=3	4 7 w=7	5 7 w=11	3 9 w=5	6 9 w=0	
","Final solution: 668
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata62,,Hurink_vdata,1019,10,679,OK,0,10.692,678,678,"	6 1 w=10	2 2 w=12	1 2 w=4	7 3 w=4	3 5 w=0	8 8 w=7	6 8 w=5	5 8 w=5	
8	0 0 w=13	3 2 w=8	0 2 w=3	3 4 w=0	4 5 w=13	4 8 w=9	4 9 w=10	8 9 w=11	
11	3 0 w=2	7 0 w=6	9 2 w=1	2 3 w=11	2 4 w=9	0 4 w=4	7 5 w=5	0 5 w=4	2 7 w=4	7 7 w=14	1 8 w=2	
11	9 1 w=1	7 1 w=14	6 3 w=9	6 4 w=6	8 4 w=7	9 4 w=8	9 6 w=3	9 7 w=5	0 7 w=6	0 8 w=12	1 9 w=3	
9	2 0 w=4	6 2 w=13	5 2 w=10	8 6 w=11	8 7 w=2	1 5 w=0	5 7 w=1	2 9 w=0	5 9 w=0	
11	9 0 w=6	3 1 w=11	1 1 w=0	4 2 w=14	8 5 w=1	6 5 w=6	6 6 w=0	6 7 w=11	2 8 w=3	6 9 w=6	3 9 w=1	
","Final solution: 679
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata62,,Hurink_vdata,1021,10,683,OK,0,12.306,678,678,"	2 2 w=12	0 2 w=12	6 4 w=5	2 4 w=12	7 7 w=2	5 6 w=5	6 7 w=13	6 8 w=10	5 9 w=8	
9	0 0 w=5	8 2 w=9	7 5 w=7	8 6 w=7	0 6 w=7	6 6 w=13	5 7 w=14	1 7 w=1	9 9 w=7	
7	5 1 w=9	2 3 w=11	8 5 w=13	4 3 w=1	8 8 w=5	2 8 w=2	5 8 w=4	
10	3 0 w=6	7 2 w=13	6 3 w=9	0 3 w=4	9 4 w=9	9 5 w=4	4 5 w=8	2 7 w=7	1 8 w=5	0 9 w=12	
12	2 1 w=8	6 1 w=2	6 2 w=2	5 2 w=10	3 2 w=6	1 3 w=0	3 4 w=13	1 5 w=0	4 6 w=7	4 7 w=8	0 8 w=4	3 9 w=1	
11	6 0 w=3	2 0 w=13	8 1 w=14	4 1 w=11	3 1 w=5	1 2 w=0	6 5 w=5	9 6 w=3	9 7 w=6	4 8 w=9	6 9 w=5	
","Final solution: 683
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata62,,Hurink_vdata,1031,10,717,OK,0,11.050,678,678," w=1	6 8 w=5	5 8 w=4	
12	0 0 w=0	6 2 w=14	8 2 w=9	4 3 w=1	8 5 w=1	5 4 w=12	0 6 w=11	6 6 w=13	1 7 w=8	4 8 w=9	2 9 w=11	5 9 w=0	
10	7 1 w=3	2 3 w=5	5 3 w=4	0 4 w=0	7 7 w=14	2 5 w=7	2 6 w=12	6 7 w=1	2 8 w=6	3 8 w=3	
13	2 0 w=13	9 1 w=5	9 2 w=13	7 4 w=12	0 2 w=6	9 4 w=8	9 5 w=5	7 8 w=11	0 7 w=0	2 7 w=5	0 8 w=3	1 8 w=13	1 9 w=14	
10	2 1 w=8	3 0 w=12	4 2 w=7	1 3 w=0	8 6 w=10	4 6 w=5	8 7 w=3	8 8 w=4	5 7 w=11	3 9 w=1	
10	6 0 w=2	8 1 w=2	7 3 w=0	5 2 w=14	4 5 w=6	4 7 w=5	3 4 w=10	9 8 w=7	0 9 w=2	6 9 w=5	
","Final solution: 717
Schedule exported to ../../output.csv
"
layer2_public402,Hurinkvdata62,,Hurink_vdata,1033,10,672,OK,0,11.282,678,678,"3 w=10	0 2 w=11	7 7 w=2	3 8 w=0	6 8 w=13	5 8 w=3	
13	0 0 w=3	3 2 w=8	4 3 w=4	4 4 w=8	3 4 w=4	3 5 w=2	2 5 w=9	6 6 w=1	3 7 w=5	4 8 w=8	1 7 w=4	0 8 w=8	8 9 w=14	
6	5 1 w=14	9 2 w=10	2 3 w=11	5 5 w=8	2 6 w=12	8 8 w=5	
10	3 0 w=13	9 1 w=5	7 2 w=13	6 4 w=4	4 5 w=12	0 3 w=5	2 7 w=7	0 6 w=7	0 7 w=7	0 9 w=12	
12	4 0 w=6	6 1 w=1	6 2 w=4	6 3 w=0	3 3 w=3	9 4 w=6	8 4 w=1	4 6 w=11	5 6 w=11	5 7 w=12	3 9 w=2	6 9 w=5	
11	2 0 w=5	8 1 w=13	4 2 w=14	1 2 w=12	6 5 w=0	9 5 w=9	8 5 w=7	0 4 w=1	8 7 w=3	2 8 w=3	9 9 w=9	
","Final solution: 672
Schedule exported to ../../output.csv
"
