key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,reference_best,current_best,best_minus_lb,best_minus_ub,best_minus_reference,best_minus_current,status
0_BehnkeGeiger_42_workers,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,10,10,92,103.100,0,80,,,92,12,,,OK
0_BehnkeGeiger_46_workers,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,10,10,121,125.400,67,108,,,54,13,,,OK
0_BehnkeGeiger_60_workers,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,10,0,,,74,431,,,,,,,PARTIAL_OR_ERROR
1_Brandimarte_12_workers,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,10,10,496,513.800,146,471,,,350,25,,,OK
1_Brandimarte_14_workers,BrandimarteMk14,1_Brandimarte_14_workers,Brandimarte,10,10,664,681.500,210,640,,,454,24,,,OK
1_Brandimarte_7_workers,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,10,10,172,195.400,46,137,,,126,35,,,OK
2a_Hurink_sdata_18_workers,Hurinksdata18,2a_Hurink_sdata_18_workers,Hurink_sdata,10,10,1320,1482.600,363.722,1138,,,956.278,182,,,OK
2a_Hurink_sdata_1_workers,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,10,10,53,58.100,46,52.000,,,7,1.000,,,OK
2a_Hurink_sdata_38_workers,Hurinksdata38,2a_Hurink_sdata_38_workers,Hurink_sdata,10,10,2151,2335.100,598.202,1738,,,1552.798,413,,,OK
2a_Hurink_sdata_40_workers,Hurinksdata40,2a_Hurink_sdata_40_workers,Hurink_sdata,10,10,1567,1761.600,914,1329,,,653,238,,,OK
2a_Hurink_sdata_54_workers,Hurinksdata54,2a_Hurink_sdata_54_workers,Hurink_sdata,10,10,8601,9202.600,5241.725,7830,,,3359.275,771,,,OK
2a_Hurink_sdata_61_workers,Hurinksdata61,2a_Hurink_sdata_61_workers,Hurink_sdata,10,10,962,1014.700,547,832,,,415,130,,,OK
2a_Hurink_sdata_63_workers,Hurinksdata63,2a_Hurink_sdata_63_workers,Hurink_sdata,10,10,415,436.900,283,386,,,132,29,,,OK
2b_Hurink_edata_1_workers,Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,10,10,51,52,46,51.000,,,5,0.000,,,OK
2b_Hurink_edata_6_workers,Hurinkedata6,2b_Hurink_edata_6_workers,Hurink_edata,10,10,562,622.500,341,541,,,221,21,,,OK
2c_Hurink_rdata_28_workers,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,10,10,882,936.700,662,775,,,220,107,,,OK
2c_Hurink_rdata_38_workers,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,10,8,1745,1864.750,593,1471,,,1152,274,,,PARTIAL_OR_ERROR
