layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1009,10,90,OK,0,9.949,81,81,"6	8 0 w=15	9 0 w=52	
2	3 0 w=18	0 0 w=9	
0	
0	
0	
0	
2	8 2 w=30	1 3 w=10	
0	
0	
0	
4	6 1 w=22	6 2 w=42	9 1 w=51	4 3 w=49	
0	
0	
0	
0	
0	
0	
2	2 1 w=13	1 2 w=39	
3	3 1 w=3	3 3 w=1	2 3 w=0	
2	6 3 w=18	7 2 w=31	
4	0 1 w=10	5 1 w=53	2 2 w=8	8 3 w=24	
1	7 1 w=15	
0	
0	
4	4 1 w=14	8 1 w=16	0 3 w=50	9 3 w=37	
0	
0	
0	
0	
3	1 1 w=12	4 2 w=19	5 3 w=28	
0	
0	
0	
5	3 2 w=48	0 2 w=28	5 2 w=22	9 2 w=3	7 3 w=1	
2	2 4 w=21	1 4 w=34	
3	3 4 w=52	5 4 w=22	4 4 w=38	
3	6 4 w=4	8 4 w=7	7 4 w=2	
2	0 4 w=56	9 4 w=51	
","Final solution: 90
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1013,10,96,OK,0,10.741,81,81,"4 0 w=6	2 0 w=39	
3	0 0 w=9	3 0 w=18	9 0 w=29	
3	6 1 w=4	1 1 w=56	5 2 w=19	
3	3 1 w=7	8 1 w=40	2 3 w=11	
0	
0	
3	7 2 w=1	2 2 w=9	8 2 w=10	
0	
0	
4	4 1 w=50	2 1 w=14	3 3 w=3	4 3 w=20	
0	
5	0 1 w=12	6 2 w=5	7 3 w=45	9 2 w=34	9 3 w=3	
0	
0	
0	
0	
0	
2	5 1 w=53	1 2 w=2	
0	
0	
0	
3	3 2 w=54	9 1 w=4	8 3 w=1	
0	
0	
0	
0	
4	7 1 w=10	4 2 w=19	6 3 w=0	5 3 w=6	
0	
0	
0	
3	0 2 w=11	0 3 w=50	1 3 w=44	
0	
0	
0	
3	7 4 w=7	2 4 w=19	1 4 w=30	
3	0 4 w=20	5 4 w=47	4 4 w=3	
3	6 4 w=56	3 4 w=28	8 4 w=7	
1	9 4 w=18	
","Final solution: 96
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1019,10,117,OK,0,11.142,81,81,"w=29	1 0 w=4	9 0 w=42	5 0 w=34	2 0 w=21	
0	
0	
0	
0	
0	
0	
0	
0	
2	1 3 w=35	0 3 w=32	
0	
0	
0	
0	
0	
4	8 1 w=35	8 2 w=31	1 2 w=45	2 1 w=2	
0	
0	
0	
5	3 1 w=3	9 1 w=51	3 3 w=5	5 2 w=47	2 3 w=55	
4	6 1 w=5	3 2 w=11	7 2 w=31	2 2 w=3	
3	8 3 w=7	5 1 w=53	0 1 w=3	
0	
3	4 3 w=43	9 2 w=41	9 3 w=15	
0	
0	
0	
4	4 2 w=33	7 1 w=50	7 3 w=6	5 3 w=6	
5	4 1 w=6	1 1 w=25	6 2 w=58	6 3 w=8	0 2 w=10	
0	
0	
0	
0	
0	
0	
3	6 4 w=13	1 4 w=26	2 4 w=13	
0	
4	8 4 w=7	3 4 w=28	7 4 w=7	5 4 w=0	
3	4 4 w=38	9 4 w=1	0 4 w=10	
","Final solution: 117
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1021,10,90,OK,0,10.989,81,81,"0 w=21	3 0 w=18	4 0 w=6	
2	1 0 w=14	0 0 w=35	
0	
0	
0	
4	1 1 w=4	6 1 w=17	0 2 w=33	6 3 w=2	
0	
0	
0	
0	
0	
2	0 1 w=10	9 2 w=34	
3	7 1 w=2	4 1 w=16	6 2 w=42	
0	
0	
2	1 2 w=15	0 3 w=6	
4	8 2 w=31	7 2 w=49	2 3 w=3	9 3 w=45	
0	
0	
0	
3	5 1 w=7	8 3 w=9	2 2 w=1	
2	3 1 w=12	9 1 w=11	
0	
4	8 1 w=38	2 1 w=58	7 3 w=45	4 3 w=1	
0	
0	
0	
0	
2	5 3 w=0	4 2 w=44	
0	
0	
0	
0	
4	5 2 w=22	3 2 w=55	3 3 w=31	1 3 w=0	
2	2 4 w=19	1 4 w=0	
3	5 4 w=40	0 4 w=10	4 4 w=5	
3	7 4 w=2	3 4 w=28	6 4 w=39	
2	8 4 w=57	9 4 w=34	
","Final solution: 90
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1031,10,86,OK,0,9.888,81,81,"8 0 w=6	9 0 w=52	
3	3 0 w=18	0 0 w=17	2 0 w=21	
0	
0	
0	
3	1 1 w=56	6 1 w=25	2 1 w=46	
2	6 2 w=26	7 2 w=5	
0	
0	
0	
0	
2	8 3 w=9	9 2 w=1	
0	
0	
3	8 2 w=31	1 2 w=44	6 3 w=2	
0	
0	
0	
4	3 1 w=3	9 1 w=51	5 2 w=22	2 3 w=0	
0	
5	8 1 w=21	0 1 w=15	5 1 w=7	0 3 w=45	2 2 w=9	
0	
0	
4	4 1 w=50	0 2 w=37	4 3 w=31	9 3 w=57	
0	
0	
3	4 2 w=8	7 1 w=10	5 3 w=6	
0	
0	
0	
0	
0	
0	
4	3 2 w=44	3 3 w=1	1 3 w=0	7 3 w=45	
3	8 4 w=8	1 4 w=26	2 4 w=13	
2	4 4 w=3	5 4 w=33	
3	3 4 w=28	6 4 w=18	7 4 w=2	
2	0 4 w=30	9 4 w=1	
","Final solution: 86
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1033,10,94,OK,0,11.713,81,81,"42	
2	3 0 w=18	2 0 w=20	
2	0 0 w=56	4 0 w=8	
0	
4	3 1 w=4	1 1 w=12	6 1 w=33	6 2 w=16	
0	
0	
0	
0	
0	
3	2 1 w=7	5 3 w=26	6 3 w=18	
0	
0	
0	
0	
0	
4	7 1 w=25	3 3 w=34	1 2 w=15	1 3 w=9	
3	7 2 w=49	8 2 w=31	2 3 w=3	
0	
3	0 1 w=0	5 1 w=10	9 1 w=51	
4	3 2 w=27	8 1 w=5	2 2 w=0	8 3 w=46	
0	
0	
0	
3	5 2 w=40	7 3 w=36	4 3 w=20	
3	0 3 w=22	9 2 w=8	9 3 w=37	
0	
0	
3	0 2 w=38	4 1 w=6	4 2 w=22	
0	
0	
0	
0	
0	
0	
2	2 4 w=13	1 4 w=26	
3	3 4 w=1	7 4 w=31	4 4 w=3	
3	0 4 w=10	8 4 w=7	6 4 w=59	
2	5 4 w=0	9 4 w=46	
","Final solution: 94
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1039,10,89,OK,0,11.351,81,81,"0 w=3	2 0 w=20	
3	0 0 w=9	3 0 w=52	8 0 w=48	
0	
0	
2	6 1 w=0	7 2 w=58	
0	
0	
3	0 3 w=6	1 3 w=8	2 3 w=11	
0	
0	
0	
3	0 1 w=18	9 2 w=26	9 3 w=2	
0	
0	
1	1 2 w=39	
2	9 1 w=49	3 3 w=51	
0	
0	
0	
2	8 1 w=5	2 2 w=45	
4	6 2 w=2	6 3 w=47	8 2 w=1	8 3 w=9	
1	3 2 w=24	
0	
2	2 1 w=4	4 3 w=4	
4	3 1 w=37	5 2 w=36	5 3 w=35	7 3 w=15	
0	
3	1 1 w=1	4 1 w=0	4 2 w=37	
0	
0	
0	
1	0 2 w=11	
2	5 1 w=24	7 1 w=10	
0	
0	
3	6 4 w=41	1 4 w=26	2 4 w=13	
2	5 4 w=38	4 4 w=7	
3	0 4 w=34	3 4 w=28	7 4 w=23	
2	9 4 w=20	8 4 w=57	
","Final solution: 89
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1049,10,98,OK,0,10.530,81,81,"w=42	8 0 w=6	
0	
3	3 0 w=18	0 0 w=9	1 0 w=5	
0	
0	
0	
4	6 1 w=12	2 1 w=2	1 1 w=32	2 3 w=26	
0	
4	2 2 w=3	5 3 w=24	0 3 w=50	9 3 w=2	
0	
0	
0	
0	
0	
0	
0	
0	
0	
2	6 3 w=35	1 2 w=31	
0	
0	
5	0 1 w=0	3 3 w=10	7 2 w=47	8 2 w=1	8 3 w=40	
4	3 1 w=8	5 1 w=29	0 2 w=11	9 1 w=25	
3	7 1 w=17	9 2 w=34	4 3 w=51	
0	
0	
0	
0	
4	4 1 w=50	6 2 w=21	4 2 w=14	7 3 w=6	
0	
0	
0	
0	
0	
4	3 2 w=25	5 2 w=8	8 1 w=21	1 3 w=8	
3	6 4 w=46	2 4 w=13	1 4 w=26	
3	3 4 w=30	0 4 w=10	4 4 w=3	
3	5 4 w=0	7 4 w=38	8 4 w=7	
1	9 4 w=5	
","Final solution: 98
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1051,10,95,OK,0,9.950,81,81,"	7 0 w=13	
0	
3	1 0 w=4	3 0 w=18	0 0 w=17	
0	
0	
0	
3	1 1 w=49	2 1 w=1	6 3 w=2	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
3	8 2 w=31	1 2 w=46	2 3 w=3	
0	
3	3 1 w=3	0 1 w=29	3 3 w=50	
0	
3	5 1 w=10	8 3 w=41	7 2 w=9	
3	9 1 w=51	3 2 w=16	0 2 w=11	
4	8 1 w=21	7 1 w=2	2 2 w=3	4 3 w=42	
0	
4	4 1 w=14	5 3 w=35	9 3 w=37	0 3 w=6	
0	
0	
0	
2	6 1 w=33	4 2 w=44	
0	
0	
0	
0	
5	5 2 w=22	6 2 w=43	9 2 w=3	1 3 w=0	7 3 w=43	
2	1 4 w=26	2 4 w=40	
3	5 4 w=13	3 4 w=52	4 4 w=54	
3	8 4 w=8	6 4 w=25	7 4 w=51	
2	9 4 w=24	0 4 w=10	
","Final solution: 95
Schedule exported to ../../output.csv
"
layer3_ablation_representatives,Behnke21,,BehnkeGeiger,1061,10,92,OK,0,11.107,81,81,"0 w=6	8 0 w=48	2 0 w=20	
2	3 0 w=18	0 0 w=9	
3	1 1 w=4	5 2 w=52	7 2 w=56	
0	
4	4 1 w=6	6 1 w=12	3 3 w=16	6 3 w=8	
3	0 2 w=22	8 2 w=31	1 3 w=40	
2	2 1 w=3	2 2 w=19	
0	
0	
0	
0	
4	0 1 w=10	9 2 w=34	9 3 w=2	7 3 w=45	
3	8 1 w=38	6 2 w=42	4 3 w=53	
0	
2	3 1 w=13	1 2 w=5	
0	
0	
0	
0	
0	
3	5 1 w=53	0 3 w=29	8 3 w=20	
4	9 1 w=54	3 2 w=44	7 1 w=0	2 3 w=4	
0	
0	
0	
0	
2	4 2 w=25	5 3 w=6	
0	
0	
0	
0	
0	
0	
0	
3	0 4 w=9	8 4 w=48	2 4 w=13	
2	5 4 w=12	4 4 w=17	
3	3 4 w=28	6 4 w=47	7 4 w=2	
2	9 4 w=1	1 4 w=7	
","Final solution: 92
Schedule exported to ../../output.csv
"
