key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,reference_best,current_best,best_minus_lb,best_minus_ub,best_minus_reference,best_minus_current,status
0_BehnkeGeiger_60_workers,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,10,0,,,491,491,,,,,,,PARTIAL_OR_ERROR
2a_Hurink_sdata_1_workers,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,10,10,53,58.100,52,52,,,1,1,,,OK
2b_Hurink_edata_1_workers,Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,10,10,51,52,51,51,,,0,0,,,OK
5_Kacem_3_workers,Kacem3,5_Kacem_3_workers,Kacem,10,10,7,7.900,7,7,,,0,0,,,OK
5_Kacem_4_workers,Kacem4,5_Kacem_4_workers,Kacem,10,10,11,12.100,11,11,,,0,0,,,OK
6_Fattahi_20_workers,Fattahi20,6_Fattahi_20_workers,Fattahi,10,10,1184,1227.700,1208,1208,,,-24,-24,,,OK
Behnke12,Behnke12,,BehnkeGeiger,10,0,,,289,289,,,,,,,PARTIAL_OR_ERROR
Behnke21,Behnke21,,BehnkeGeiger,10,10,86,94.700,81,81,,,5,5,,,OK
BrandimarteMk1,BrandimarteMk1,,Brandimarte,10,10,39,39.600,39,39,,,0,0,,,OK
BrandimarteMk11,BrandimarteMk11,,Brandimarte,10,10,718,767.100,620,620,,,98,98,,,OK
BrandimarteMk15,BrandimarteMk15,,Brandimarte,10,1,456,456,374,374,,,82,82,,,PARTIAL_OR_ERROR
ChambersBarnes13,ChambersBarnes13,,ChambersBarnes,10,10,1034,1101.500,973,973,,,61,61,,,OK
ChambersBarnes20,ChambersBarnes20,,ChambersBarnes,10,10,1385,1491.200,1199,1199,,,186,186,,,OK
ChambersBarnes4,ChambersBarnes4,,ChambersBarnes,10,10,937,967.100,870,870,,,67,67,,,OK
DPpaulli11,DPpaulli11,,DPpaulli,10,0,,,2404,2404,,,,,,,PARTIAL_OR_ERROR
DPpaulli13,DPpaulli13,,DPpaulli,10,2,3143,3266,2808,2808,,,335,335,,,PARTIAL_OR_ERROR
DPpaulli3,DPpaulli3,,DPpaulli,10,0,,,2308,2308,,,,,,,PARTIAL_OR_ERROR
Fattahi1,Fattahi1,,Fattahi,10,10,69,69,69,69,,,0,0,,,OK
Fattahi12,Fattahi12,,Fattahi,10,10,428,478.500,415,415,,,13,13,,,OK
Hurinkedata48,Hurinkedata48,,Hurink_edata,10,10,784,856.600,734,734,,,50,50,,,OK
Hurinkedata66,Hurinkedata66,,Hurink_edata,10,10,946,1016.600,907,907,,,39,39,,,OK
Hurinkrdata1,Hurinkrdata1,,Hurink_rdata,10,10,44,47.900,44,44,,,0,0,,,OK
Hurinkrdata44,Hurinkrdata44,,Hurink_rdata,10,10,967,1009.200,983,983,,,-16,-16,,,OK
Hurinkrdata46,Hurinkrdata46,,Hurink_rdata,10,10,630,744,740,740,,,-110,-110,,,OK
Hurinksdata44,Hurinksdata44,,Hurink_sdata,10,10,1271,1438.500,1594,1594,,,-323,-323,,,OK
Hurinksdata48,Hurinksdata48,,Hurink_sdata,10,10,869,930.400,1386,1386,,,-517,-517,,,OK
Hurinkvdata1,Hurinkvdata1,,Hurink_vdata,10,10,44,44,44,44,,,0,0,,,OK
Hurinkvdata23,Hurinkvdata23,,Hurink_vdata,10,10,696,735.400,696,696,,,0,0,,,OK
Hurinkvdata46,Hurinkvdata46,,Hurink_vdata,10,0,,,719,719,,,,,,,PARTIAL_OR_ERROR
Kacem1,Kacem1,,Kacem,10,10,11,11.500,11,11,,,0,0,,,OK
